date,state,holiday
2015-11-02,Baden-Württemberg,Herbst
2015-11-03,Baden-Württemberg,Herbst
2015-11-04,Baden-Württemberg,Herbst
2015-11-05,Baden-Württemberg,Herbst
2015-11-06,Baden-Württemberg,Herbst
2015-12-23,Baden-Württemberg,Weihnachten
2015-12-24,Baden-Württemberg,Weihnachten
2015-12-25,Baden-Württemberg,Weihnachten
2015-12-26,Baden-Württemberg,Weihnachten
2015-12-27,Baden-Württemberg,Weihnachten
2015-12-28,Baden-Württemberg,Weihnachten
2015-12-29,Baden-Württemberg,Weihnachten
2015-12-30,Baden-Württemberg,Weihnachten
2015-12-31,Baden-Württemberg,Weihnachten
2016-01-01,Baden-Württemberg,Weihnachten
2016-01-02,Baden-Württemberg,Weihnachten
2016-01-03,Baden-Württemberg,Weihnachten
2016-01-04,Baden-Württemberg,Weihnachten
2016-01-05,Baden-Württemberg,Weihnachten
2016-01-06,Baden-Württemberg,Weihnachten
2016-01-07,Baden-Württemberg,Weihnachten
2016-01-08,Baden-Württemberg,Weihnachten
2016-01-09,Baden-Württemberg,Weihnachten
2016-03-29,Baden-Württemberg,Ostern/Frühjahr
2016-03-30,Baden-Württemberg,Ostern/Frühjahr
2016-03-31,Baden-Württemberg,Ostern/Frühjahr
2016-04-01,Baden-Württemberg,Ostern/Frühjahr
2016-04-02,Baden-Württemberg,Ostern/Frühjahr
2016-05-17,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-18,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-19,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-20,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-21,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-22,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-23,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-24,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-25,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-26,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-27,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-05-28,Baden-Württemberg,Himmelfahrt/Pfingsten
2016-07-28,Baden-Württemberg,Sommer
2016-07-29,Baden-Württemberg,Sommer
2016-07-30,Baden-Württemberg,Sommer
2016-07-31,Baden-Württemberg,Sommer
2016-08-01,Baden-Württemberg,Sommer
2016-08-02,Baden-Württemberg,Sommer
2016-08-03,Baden-Württemberg,Sommer
2016-08-04,Baden-Württemberg,Sommer
2016-08-05,Baden-Württemberg,Sommer
2016-08-06,Baden-Württemberg,Sommer
2016-08-07,Baden-Württemberg,Sommer
2016-08-08,Baden-Württemberg,Sommer
2016-08-09,Baden-Württemberg,Sommer
2016-08-10,Baden-Württemberg,Sommer
2016-08-11,Baden-Württemberg,Sommer
2016-08-12,Baden-Württemberg,Sommer
2016-08-13,Baden-Württemberg,Sommer
2016-08-14,Baden-Württemberg,Sommer
2016-08-15,Baden-Württemberg,Sommer
2016-08-16,Baden-Württemberg,Sommer
2016-08-17,Baden-Württemberg,Sommer
2016-08-18,Baden-Württemberg,Sommer
2016-08-19,Baden-Württemberg,Sommer
2016-08-20,Baden-Württemberg,Sommer
2016-08-21,Baden-Württemberg,Sommer
2016-08-22,Baden-Württemberg,Sommer
2016-08-23,Baden-Württemberg,Sommer
2016-08-24,Baden-Württemberg,Sommer
2016-08-25,Baden-Württemberg,Sommer
2016-08-26,Baden-Württemberg,Sommer
2016-08-27,Baden-Württemberg,Sommer
2016-08-28,Baden-Württemberg,Sommer
2016-08-29,Baden-Württemberg,Sommer
2016-08-30,Baden-Württemberg,Sommer
2016-08-31,Baden-Württemberg,Sommer
2016-09-01,Baden-Württemberg,Sommer
2016-09-02,Baden-Württemberg,Sommer
2016-09-03,Baden-Württemberg,Sommer
2016-09-04,Baden-Württemberg,Sommer
2016-09-05,Baden-Württemberg,Sommer
2016-09-06,Baden-Württemberg,Sommer
2016-09-07,Baden-Württemberg,Sommer
2016-09-08,Baden-Württemberg,Sommer
2016-09-09,Baden-Württemberg,Sommer
2016-09-10,Baden-Württemberg,Sommer
2015-11-02,Bayern,Herbst
2015-11-03,Bayern,Herbst
2015-11-04,Bayern,Herbst
2015-11-05,Bayern,Herbst
2015-11-06,Bayern,Herbst
2015-11-07,Bayern,Herbst
2016-02-08,Bayern,Winter
2016-02-09,Bayern,Winter
2016-02-10,Bayern,Winter
2016-02-11,Bayern,Winter
2016-02-12,Bayern,Winter
2015-12-24,Bayern,Weihnachten
2015-12-25,Bayern,Weihnachten
2015-12-26,Bayern,Weihnachten
2015-12-27,Bayern,Weihnachten
2015-12-28,Bayern,Weihnachten
2015-12-29,Bayern,Weihnachten
2015-12-30,Bayern,Weihnachten
2015-12-31,Bayern,Weihnachten
2016-01-01,Bayern,Weihnachten
2016-01-02,Bayern,Weihnachten
2016-01-03,Bayern,Weihnachten
2016-01-04,Bayern,Weihnachten
2016-01-05,Bayern,Weihnachten
2016-03-21,Bayern,Ostern/Frühjahr
2016-03-22,Bayern,Ostern/Frühjahr
2016-03-23,Bayern,Ostern/Frühjahr
2016-03-24,Bayern,Ostern/Frühjahr
2016-03-25,Bayern,Ostern/Frühjahr
2016-03-26,Bayern,Ostern/Frühjahr
2016-03-27,Bayern,Ostern/Frühjahr
2016-03-28,Bayern,Ostern/Frühjahr
2016-03-29,Bayern,Ostern/Frühjahr
2016-03-30,Bayern,Ostern/Frühjahr
2016-03-31,Bayern,Ostern/Frühjahr
2016-04-01,Bayern,Ostern/Frühjahr
2016-05-17,Bayern,Himmelfahrt/Pfingsten
2016-05-18,Bayern,Himmelfahrt/Pfingsten
2016-05-19,Bayern,Himmelfahrt/Pfingsten
2016-05-20,Bayern,Himmelfahrt/Pfingsten
2016-05-21,Bayern,Himmelfahrt/Pfingsten
2016-05-22,Bayern,Himmelfahrt/Pfingsten
2016-05-23,Bayern,Himmelfahrt/Pfingsten
