date,state,holiday
2011-11-02,Baden-Württemberg,Herbst
2011-11-03,Baden-Württemberg,Herbst
2011-11-04,Baden-Württemberg,Herbst
2011-12-23,Baden-Württemberg,Weihnachten
2011-12-24,Baden-Württemberg,Weihnachten
2011-12-25,Baden-Württemberg,Weihnachten
2011-12-26,Baden-Württemberg,Weihnachten
2011-12-27,Baden-Württemberg,Weihnachten
2011-12-28,Baden-Württemberg,Weihnachten
2011-12-29,Baden-Württemberg,Weihnachten
2011-12-30,Baden-Württemberg,Weihnachten
2011-12-31,Baden-Württemberg,Weihnachten
2012-01-01,Baden-Württemberg,Weihnachten
2012-01-02,Baden-Württemberg,Weihnachten
2012-01-03,Baden-Württemberg,Weihnachten
2012-01-04,Baden-Württemberg,Weihnachten
2012-01-05,Baden-Württemberg,Weihnachten
2012-04-02,Baden-Württemberg,Ostern/Frühjahr
2012-04-03,Baden-Württemberg,Ostern/Frühjahr
2012-04-04,Baden-Württemberg,Ostern/Frühjahr
2012-04-05,Baden-Württemberg,Ostern/Frühjahr
2012-04-06,Baden-Württemberg,Ostern/Frühjahr
2012-04-07,Baden-Württemberg,Ostern/Frühjahr
2012-04-08,Baden-Württemberg,Ostern/Frühjahr
2012-04-09,Baden-Württemberg,Ostern/Frühjahr
2012-04-10,Baden-Württemberg,Ostern/Frühjahr
2012-04-11,Baden-Württemberg,Ostern/Frühjahr
2012-04-12,Baden-Württemberg,Ostern/Frühjahr
2012-04-13,Baden-Württemberg,Ostern/Frühjahr
2012-05-29,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-05-30,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-05-31,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-01,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-02,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-03,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-04,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-05,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-06,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-07,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-08,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-06-09,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-10-31,Bayern,Herbst
2011-11-01,Bayern,Herbst
2011-11-02,Bayern,Herbst
2011-11-03,Bayern,Herbst
2011-11-04,Bayern,Herbst
2011-11-05,Bayern,Herbst
2011-12-27,Bayern,Weihnachten
2011-12-28,Bayern,Weihnachten
2011-12-29,Bayern,Weihnachten
2011-12-30,Bayern,Weihnachten
2011-12-31,Bayern,Weihnachten
2012-01-01,Bayern,Weihnachten
2012-01-02,Bayern,Weihnachten
2012-01-03,Bayern,Weihnachten
2012-01-04,Bayern,Weihnachten
2012-01-05,Bayern,Weihnachten
2012-02-20,Bayern,Winter
2012-02-21,Bayern,Winter
2012-02-22,Bayern,Winter
2012-02-23,Bayern,Winter
2012-02-24,Bayern,Winter
2012-04-02,Bayern,Ostern/Frühjahr
2012-04-03,Bayern,Ostern/Frühjahr
2012-04-04,Bayern,Ostern/Frühjahr
2012-04-05,Bayern,Ostern/Frühjahr
2012-04-06,Bayern,Ostern/Frühjahr
2012-04-07,Bayern,Ostern/Frühjahr
2012-04-08,Bayern,Ostern/Frühjahr
2012-04-09,Bayern,Ostern/Frühjahr
2012-04-10,Bayern,Ostern/Frühjahr
2012-04-11,Bayern,Ostern/Frühjahr
2012-04-12,Bayern,Ostern/Frühjahr
2012-04-13,Bayern,Ostern/Frühjahr
2012-04-14,Bayern,Ostern/Frühjahr
2012-05-29,Bayern,Himmelfahrt/Pfingsten
2012-05-30,Bayern,Himmelfahrt/Pfingsten
2012-05-31,Bayern,Himmelfahrt/Pfingsten
2012-06-01,Bayern,Himmelfahrt/Pfingsten
2012-06-02,Bayern,Himmelfahrt/Pfingsten
2012-06-03,Bayern,Himmelfahrt/Pfingsten
2012-06-04,Bayern,Himmelfahrt/Pfingsten
2012-06-05,Bayern,Himmelfahrt/Pfingsten
2012-06-06,Bayern,Himmelfahrt/Pfingsten
2012-06-07,Bayern,Himmelfahrt/Pfingsten
2012-06-08,Bayern,Himmelfahrt/Pfingsten
2012-06-09,Bayern,Himmelfahrt/Pfingsten
2011-10-04,Berlin,Herbst
2011-10-05,Berlin,Herbst
2011-10-06,Berlin,Herbst
2011-10-07,Berlin,Herbst
2011-10-08,Berlin,Herbst
2011-10-09,Berlin,Herbst
2011-10-10,Berlin,Herbst
2011-10-11,Berlin,Herbst
2011-10-12,Berlin,Herbst
2011-10-13,Berlin,Herbst
2011-10-14,Berlin,Herbst
2011-12-23,Berlin,Weihnachten
