date,state,holiday
2018-10-29,Baden-Württemberg,Herbst
2018-10-30,Baden-Württemberg,Herbst
2018-10-31,Baden-Württemberg,Herbst
2018-11-01,Baden-Württemberg,Herbst
2018-11-02,Baden-Württemberg,Herbst
2018-12-24,Baden-Württemberg,Weihnachten
2018-12-25,Baden-Württemberg,Weihnachten
2018-12-26,Baden-Württemberg,Weihnachten
2018-12-27,Baden-Württemberg,Weihnachten
2018-12-28,Baden-Württemberg,Weihnachten
2018-12-29,Baden-Württemberg,Weihnachten
2018-12-30,Baden-Württemberg,Weihnachten
2018-12-31,Baden-Württemberg,Weihnachten
2019-01-01,Baden-Württemberg,Weihnachten
2019-01-02,Baden-Württemberg,Weihnachten
2019-01-03,Baden-Württemberg,Weihnachten
2019-01-04,Baden-Württemberg,Weihnachten
2019-01-05,Baden-Württemberg,Weihnachten
2019-04-15,Baden-Württemberg,Ostern/Frühjahr
2019-04-16,Baden-Württemberg,Ostern/Frühjahr
2019-04-17,Baden-Württemberg,Ostern/Frühjahr
2019-04-18,Baden-Württemberg,Ostern/Frühjahr
2019-04-19,Baden-Württemberg,Ostern/Frühjahr
2019-04-20,Baden-Württemberg,Ostern/Frühjahr
2019-04-21,Baden-Württemberg,Ostern/Frühjahr
2019-04-22,Baden-Württemberg,Ostern/Frühjahr
2019-04-23,Baden-Württemberg,Ostern/Frühjahr
2019-04-24,Baden-Württemberg,Ostern/Frühjahr
2019-04-25,Baden-Württemberg,Ostern/Frühjahr
2019-04-26,Baden-Württemberg,Ostern/Frühjahr
2019-04-27,Baden-Württemberg,Ostern/Frühjahr
2019-06-11,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-12,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-13,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-14,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-15,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-16,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-17,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-18,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-19,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-20,Baden-Württemberg,Himmelfahrt/Pfingsten
2019-06-21,Baden-Württemberg,Himmelfahrt/Pfingsten
2018-10-29,Bayern,Herbst
2018-10-30,Bayern,Herbst
2018-10-31,Bayern,Herbst
2018-11-01,Bayern,Herbst
2018-11-02,Bayern,Herbst
