date,state,holiday
2012-10-29,Baden-Württemberg,Herbst
2012-10-30,Baden-Württemberg,Herbst
2012-10-31,Baden-Württemberg,Herbst
2012-11-01,Baden-Württemberg,Herbst
2012-11-02,Baden-Württemberg,Herbst
2012-12-24,Baden-Württemberg,Weihnachten
2012-12-25,Baden-Württemberg,Weihnachten
2012-12-26,Baden-Württemberg,Weihnachten
2012-12-27,Baden-Württemberg,Weihnachten
2012-12-28,Baden-Württemberg,Weihnachten
2012-12-29,Baden-Württemberg,Weihnachten
2012-12-30,Baden-Württemberg,Weihnachten
2012-12-31,Baden-Württemberg,Weihnachten
2013-01-01,Baden-Württemberg,Weihnachten
2013-01-02,Baden-Württemberg,Weihnachten
2013-01-03,Baden-Württemberg,Weihnachten
2013-01-04,Baden-Württemberg,Weihnachten
2013-01-05,Baden-Württemberg,Weihnachten
2013-03-25,Baden-Württemberg,Ostern/Frühjahr
2013-03-26,Baden-Württemberg,Ostern/Frühjahr
2013-03-27,Baden-Württemberg,Ostern/Frühjahr
2013-03-28,Baden-Württemberg,Ostern/Frühjahr
2013-03-29,Baden-Württemberg,Ostern/Frühjahr
2013-03-30,Baden-Württemberg,Ostern/Frühjahr
2013-03-31,Baden-Württemberg,Ostern/Frühjahr
2013-04-01,Baden-Württemberg,Ostern/Frühjahr
2013-04-02,Baden-Württemberg,Ostern/Frühjahr
2013-04-03,Baden-Württemberg,Ostern/Frühjahr
2013-04-04,Baden-Württemberg,Ostern/Frühjahr
2013-04-05,Baden-Württemberg,Ostern/Frühjahr
2013-05-21,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-22,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-23,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-24,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-25,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-26,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-27,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-28,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-29,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-30,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-05-31,Baden-Württemberg,Himmelfahrt/Pfingsten
2013-06-01,Baden-Württemberg,Himmelfahrt/Pfingsten
2012-10-29,Bayern,Herbst
2012-10-30,Bayern,Herbst
2012-10-31,Bayern,Herbst
2012-11-01,Bayern,Herbst
2012-11-02,Bayern,Herbst
2012-11-03,Bayern,Herbst
2012-12-24,Bayern,Weihnachten
2012-12-25,Bayern,Weihnachten
2012-12-26,Bayern,Weihnachten
2012-12-27,Bayern,Weihnachten
2012-12-28,Bayern,Weihnachten
2012-12-29,Bayern,Weihnachten
2012-12-30,Bayern,Weihnachten
2012-12-31,Bayern,Weihnachten
2013-01-01,Bayern,Weihnachten
2013-01-02,Bayern,Weihnachten
2013-01-03,Bayern,Weihnachten
2013-01-04,Bayern,Weihnachten
2013-01-05,Bayern,Weihnachten
2013-02-11,Bayern,Winter
2013-02-12,Bayern,Winter
2013-02-13,Bayern,Winter
2013-02-14,Bayern,Winter
2013-02-15,Bayern,Winter
2013-03-25,Bayern,Ostern/Frühjahr
2013-03-26,Bayern,Ostern/Frühjahr
2013-03-27,Bayern,Ostern/Frühjahr
2013-03-28,Bayern,Ostern/Frühjahr
2013-03-29,Bayern,Ostern/Frühjahr
2013-03-30,Bayern,Ostern/Frühjahr
2013-03-31,Bayern,Ostern/Frühjahr
2013-04-01,Bayern,Ostern/Frühjahr
2013-04-02,Bayern,Ostern/Frühjahr
2013-04-03,Bayern,Ostern/Frühjahr
2013-04-04,Bayern,Ostern/Frühjahr
2013-04-05,Bayern,Ostern/Frühjahr
2013-04-06,Bayern,Ostern/Frühjahr
2013-05-21,Bayern,Himmelfahrt/Pfingsten
2013-05-22,Bayern,Himmelfahrt/Pfingsten
2013-05-23,Bayern,Himmelfahrt/Pfingsten
2013-05-24,Bayern,Himmelfahrt/Pfingsten
2013-05-25,Bayern,Himmelfahrt/Pfingsten
2013-05-26,Bayern,Himmelfahrt/Pfingsten
2013-05-27,Bayern,Himmelfahrt/Pfingsten
2013-05-28,Bayern,Himmelfahrt/Pfingsten
2013-05-29,Bayern,Himmelfahrt/Pfingsten
2013-05-30,Bayern,Himmelfahrt/Pfingsten
2013-05-31,Bayern,Himmelfahrt/Pfingsten
2012-10-01,Berlin,Herbst
2012-10-02,Berlin,Herbst
2012-10-03,Berlin,Herbst
2012-10-04,Berlin,Herbst
2012-10-05,Berlin,Herbst
2012-10-06,Berlin,Herbst
2012-10-07,Berlin,Herbst
2012-10-08,Berlin,Herbst
2012-10-09,Berlin,Herbst
2012-10-10,Berlin,Herbst
2012-10-11,Berlin,Herbst
2012-10-12,Berlin,Herbst
2012-10-13,Berlin,Herbst
2012-12-24,Berlin,Weihnachten
2012-12-25,Berlin,Weihnachten
2012-12-26,Berlin,Weihnachten
2012-12-27,Berlin,Weihnachten
2012-12-28,Berlin,Weihnachten
2012-12-29,Berlin,Weihnachten
2012-12-30,Berlin,Weihnachten
2012-12-31,Berlin,Weihnachten
2013-01-01,Berlin,Weihnachten
2013-01-02,Berlin,Weihnachten
2013-01-03,Berlin,Weihnachten
2013-01-04,Berlin,Weihnachten
2013-02-04,Berlin,Winter
2013-02-05,Berlin,Winter
2013-02-06,Berlin,Winter
2013-02-07,Berlin,Winter
2013-02-08,Berlin,Winter
2013-02-09,Berlin,Winter
2013-03-25,Berlin,Ostern/Frühjahr
2013-03-26,Berlin,Ostern/Frühjahr
2013-03-27,Berlin,Ostern/Frühjahr
2013-03-28,Berlin,Ostern/Frühjahr
2013-03-29,Berlin,Ostern/Frühjahr
2013-03-30,Berlin,Ostern/Frühjahr
2013-03-31,Berlin,Ostern/Frühjahr
2013-04-01,Berlin,Ostern/Frühjahr
