date,state,holiday
2022-10-31,Baden-Württemberg,Herbst
2022-11-02,Baden-Württemberg,Herbst
2022-11-03,Baden-Württemberg,Herbst
2022-11-04,Baden-Württemberg,Herbst
2022-12-21,Baden-Württemberg,Weihnachten
2022-12-22,Baden-Württemberg,Weihnachten
2022-12-23,Baden-Württemberg,Weihnachten
2022-12-24,Baden-Württemberg,Weihnachten
2022-12-25,Baden-Württemberg,Weihnachten
2022-12-26,Baden-Württemberg,Weihnachten
2022-12-27,Baden-Württemberg,Weihnachten
2022-12-28,Baden-Württemberg,Weihnachten
2022-12-29,Baden-Württemberg,Weihnachten
2022-12-30,Baden-Württemberg,Weihnachten
2022-12-31,Baden-Württemberg,Weihnachten
2023-01-01,Baden-Württemberg,Weihnachten
2023-01-02,Baden-Württemberg,Weihnachten
2023-01-03,Baden-Württemberg,Weihnachten
2023-01-04,Baden-Württemberg,Weihnachten
2023-01-05,Baden-Württemberg,Weihnachten
2023-01-06,Baden-Württemberg,Weihnachten
2023-01-07,Baden-Württemberg,Weihnachten
2023-04-06,Baden-Württemberg,Ostern/Frühjahr
2023-04-11,Baden-Württemberg,Ostern/Frühjahr
2023-04-12,Baden-Württemberg,Ostern/Frühjahr
2023-04-13,Baden-Württemberg,Ostern/Frühjahr
2023-04-14,Baden-Württemberg,Ostern/Frühjahr
2023-04-15,Baden-Württemberg,Ostern/Frühjahr
2023-05-30,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-05-31,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-01,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-02,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-03,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-04,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-05,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-06,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-07,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-08,Baden-Württemberg,Himmelfahrt/Pfingsten
2023-06-09,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-10-31,Bayern,Herbst
2022-11-01,Bayern,Herbst
2022-11-02,Bayern,Herbst
2022-11-03,Bayern,Herbst
2022-11-04,Bayern,Herbst
2022-12-24,Bayern,Weihnachten
2022-12-25,Bayern,Weihnachten
2022-12-26,Bayern,Weihnachten
2022-12-27,Bayern,Weihnachten
2022-12-28,Bayern,Weihnachten
2022-12-29,Bayern,Weihnachten
2022-12-30,Bayern,Weihnachten
2022-12-31,Bayern,Weihnachten
2023-01-01,Bayern,Weihnachten
2023-01-02,Bayern,Weihnachten
2023-01-03,Bayern,Weihnachten
2023-01-04,Bayern,Weihnachten
2023-01-05,Bayern,Weihnachten
2023-01-06,Bayern,Weihnachten
2023-01-07,Bayern,Weihnachten
2023-02-20,Bayern,Ostern/Frühjahr
2023-02-21,Bayern,Ostern/Frühjahr
2023-02-22,Bayern,Ostern/Frühjahr
2023-02-23,Bayern,Ostern/Frühjahr
