date,state,holiday
2019-10-28,Baden-Württemberg,Herbst
2019-10-29,Baden-Württemberg,Herbst
2019-10-30,Baden-Württemberg,Herbst
2019-10-31,Baden-Württemberg,Herbst
2019-12-23,Baden-Württemberg,Weihnachten
2019-12-24,Baden-Württemberg,Weihnachten
2019-12-25,Baden-Württemberg,Weihnachten
2019-12-26,Baden-Württemberg,Weihnachten
2019-12-27,Baden-Württemberg,Weihnachten
2019-12-28,Baden-Württemberg,Weihnachten
2019-12-29,Baden-Württemberg,Weihnachten
2019-12-30,Baden-Württemberg,Weihnachten
2019-12-31,Baden-Württemberg,Weihnachten
2020-01-01,Baden-Württemberg,Weihnachten
2020-01-02,Baden-Württemberg,Weihnachten
2020-01-03,Baden-Württemberg,Weihnachten
2020-01-04,Baden-Württemberg,Weihnachten
2020-04-06,Baden-Württemberg,Ostern/Frühjahr
2020-04-07,Baden-Württemberg,Ostern/Frühjahr
2020-04-08,Baden-Württemberg,Ostern/Frühjahr
2020-04-09,Baden-Württemberg,Ostern/Frühjahr
2020-04-10,Baden-Württemberg,Ostern/Frühjahr
2020-04-11,Baden-Württemberg,Ostern/Frühjahr
2020-04-12,Baden-Württemberg,Ostern/Frühjahr
2020-04-13,Baden-Württemberg,Ostern/Frühjahr
2020-04-14,Baden-Württemberg,Ostern/Frühjahr
2020-04-15,Baden-Württemberg,Ostern/Frühjahr
2020-04-16,Baden-Württemberg,Ostern/Frühjahr
2020-04-17,Baden-Württemberg,Ostern/Frühjahr
2020-04-18,Baden-Württemberg,Ostern/Frühjahr
2020-06-02,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-03,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-04,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-05,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-06,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-07,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-08,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-09,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-10,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-11,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-12,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-06-13,Baden-Württemberg,Himmelfahrt/Pfingsten
2020-07-30,Baden-Württemberg,Sommer
2020-07-31,Baden-Württemberg,Sommer
2020-08-01,Baden-Württemberg,Sommer
