date,state,holiday
2014-10-27,Baden-Württemberg,Herbst
2014-10-28,Baden-Württemberg,Herbst
2014-10-29,Baden-Württemberg,Herbst
2014-10-30,Baden-Württemberg,Herbst
2014-12-22,Baden-Württemberg,Weihnachten
2014-12-23,Baden-Württemberg,Weihnachten
2014-12-24,Baden-Württemberg,Weihnachten
2014-12-25,Baden-Württemberg,Weihnachten
2014-12-26,Baden-Württemberg,Weihnachten
2014-12-27,Baden-Württemberg,Weihnachten
2014-12-28,Baden-Württemberg,Weihnachten
2014-12-29,Baden-Württemberg,Weihnachten
2014-12-30,Baden-Württemberg,Weihnachten
2014-12-31,Baden-Württemberg,Weihnachten
2015-01-01,Baden-Württemberg,Weihnachten
2015-01-02,Baden-Württemberg,Weihnachten
2015-01-03,Baden-Württemberg,Weihnachten
2015-01-04,Baden-Württemberg,Weihnachten
2015-01-05,Baden-Württemberg,Weihnachten
2015-03-30,Baden-Württemberg,Ostern/Frühjahr
2015-03-31,Baden-Württemberg,Ostern/Frühjahr
2015-04-01,Baden-Württemberg,Ostern/Frühjahr
2015-04-02,Baden-Württemberg,Ostern/Frühjahr
2015-04-03,Baden-Württemberg,Ostern/Frühjahr
2015-04-04,Baden-Württemberg,Ostern/Frühjahr
2015-04-05,Baden-Württemberg,Ostern/Frühjahr
2015-04-06,Baden-Württemberg,Ostern/Frühjahr
2015-04-07,Baden-Württemberg,Ostern/Frühjahr
2015-04-08,Baden-Württemberg,Ostern/Frühjahr
2015-04-09,Baden-Württemberg,Ostern/Frühjahr
2015-04-10,Baden-Württemberg,Ostern/Frühjahr
2015-05-26,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-05-27,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-05-28,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-05-29,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-05-30,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-05-31,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-01,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-02,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-03,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-04,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-05,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-06-06,Baden-Württemberg,Himmelfahrt/Pfingsten
2015-07-30,Baden-Württemberg,Sommer
2015-07-31,Baden-Württemberg,Sommer
2015-08-01,Baden-Württemberg,Sommer
