date,state,holiday
2010-11-02,Baden-Württemberg,Herbst
2010-11-03,Baden-Württemberg,Herbst
2010-11-04,Baden-Württemberg,Herbst
2010-11-05,Baden-Württemberg,Herbst
2010-11-06,Baden-Württemberg,Herbst
2010-12-23,Baden-Württemberg,Weihnachten
2010-12-24,Baden-Württemberg,Weihnachten
2010-12-25,Baden-Württemberg,Weihnachten
2010-12-26,Baden-Württemberg,Weihnachten
2010-12-27,Baden-Württemberg,Weihnachten
2010-12-28,Baden-Württemberg,Weihnachten
2010-12-29,Baden-Württemberg,Weihnachten
2010-12-30,Baden-Württemberg,Weihnachten
2010-12-31,Baden-Württemberg,Weihnachten
2011-01-01,Baden-Württemberg,Weihnachten
2011-01-02,Baden-Württemberg,Weihnachten
2011-01-03,Baden-Württemberg,Weihnachten
2011-01-04,Baden-Württemberg,Weihnachten
2011-01-05,Baden-Württemberg,Weihnachten
2011-01-06,Baden-Württemberg,Weihnachten
2011-01-07,Baden-Württemberg,Weihnachten
2011-01-08,Baden-Württemberg,Weihnachten
2011-04-26,Baden-Württemberg,Ostern/Frühjahr
2011-04-27,Baden-Württemberg,Ostern/Frühjahr
2011-04-28,Baden-Württemberg,Ostern/Frühjahr
2011-04-29,Baden-Württemberg,Ostern/Frühjahr
2011-04-30,Baden-Württemberg,Ostern/Frühjahr
2011-06-14,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-15,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-16,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-17,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-18,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-19,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-20,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-21,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-22,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-23,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-24,Baden-Württemberg,Himmelfahrt/Pfingsten
2011-06-25,Baden-Württemberg,Himmelfahrt/Pfingsten
2010-11-02,Bayern,Herbst
2010-11-03,Bayern,Herbst
2010-11-04,Bayern,Herbst
2010-11-05,Bayern,Herbst
2010-12-24,Bayern,Weihnachten
2010-12-25,Bayern,Weihnachten
2010-12-26,Bayern,Weihnachten
2010-12-27,Bayern,Weihnachten
2010-12-28,Bayern,Weihnachten
2010-12-29,Bayern,Weihnachten
2010-12-30,Bayern,Weihnachten
2010-12-31,Bayern,Weihnachten
2011-01-01,Bayern,Weihnachten
2011-01-02,Bayern,Weihnachten
2011-01-03,Bayern,Weihnachten
2011-01-04,Bayern,Weihnachten
2011-01-05,Bayern,Weihnachten
2011-01-06,Bayern,Weihnachten
2011-01-07,Bayern,Weihnachten
2011-03-07,Bayern,Ostern/Frühjahr
2011-03-08,Bayern,Ostern/Frühjahr
2011-03-09,Bayern,Ostern/Frühjahr
2011-03-10,Bayern,Ostern/Frühjahr
2011-03-11,Bayern,Ostern/Frühjahr
2011-04-18,Bayern,Ostern/Frühjahr
2011-04-19,Bayern,Ostern/Frühjahr
2011-04-20,Bayern,Ostern/Frühjahr
2011-04-21,Bayern,Ostern/Frühjahr
2011-04-22,Bayern,Ostern/Frühjahr
2011-04-23,Bayern,Ostern/Frühjahr
2011-04-24,Bayern,Ostern/Frühjahr
2011-04-25,Bayern,Ostern/Frühjahr
2011-04-26,Bayern,Ostern/Frühjahr
2011-04-27,Bayern,Ostern/Frühjahr
2011-04-28,Bayern,Ostern/Frühjahr
2011-04-29,Bayern,Ostern/Frühjahr
2011-04-30,Bayern,Ostern/Frühjahr
2011-06-14,Bayern,Himmelfahrt/Pfingsten
2011-06-15,Bayern,Himmelfahrt/Pfingsten
2011-06-16,Bayern,Himmelfahrt/Pfingsten
2011-06-17,Bayern,Himmelfahrt/Pfingsten
2011-06-18,Bayern,Himmelfahrt/Pfingsten
2011-06-19,Bayern,Himmelfahrt/Pfingsten
2011-06-20,Bayern,Himmelfahrt/Pfingsten
2011-06-21,Bayern,Himmelfahrt/Pfingsten
2011-06-22,Bayern,Himmelfahrt/Pfingsten
2011-06-23,Bayern,Himmelfahrt/Pfingsten
2011-06-24,Bayern,Himmelfahrt/Pfingsten
2011-06-25,Bayern,Himmelfahrt/Pfingsten
2010-10-11,Berlin,Herbst
2010-10-12,Berlin,Herbst
2010-10-13,Berlin,Herbst
2010-10-14,Berlin,Herbst
2010-10-15,Berlin,Herbst
2010-10-16,Berlin,Herbst
2010-10-17,Berlin,Herbst
2010-10-18,Berlin,Herbst
2010-10-19,Berlin,Herbst
2010-10-20,Berlin,Herbst
2010-10-21,Berlin,Herbst
2010-10-22,Berlin,Herbst
2010-10-23,Berlin,Herbst
2010-12-23,Berlin,Weihnachten
2010-12-24,Berlin,Weihnachten
2010-12-25,Berlin,Weihnachten
2010-12-26,Berlin,Weihnachten
2010-12-27,Berlin,Weihnachten
2010-12-28,Berlin,Weihnachten
2010-12-29,Berlin,Weihnachten
2010-12-30,Berlin,Weihnachten
2010-12-31,Berlin,Weihnachten
2011-01-01,Berlin,Weihnachten
2011-01-31,Berlin,Winter
2011-02-01,Berlin,Winter
2011-02-02,Berlin,Winter
2011-02-03,Berlin,Winter
2011-02-04,Berlin,Winter
2011-02-05,Berlin,Winter
2011-04-18,Berlin,Ostern/Frühjahr
2011-04-19,Berlin,Ostern/Frühjahr
2011-04-20,Berlin,Ostern/Frühjahr
2011-04-21,Berlin,Ostern/Frühjahr
2011-04-22,Berlin,Ostern/Frühjahr
2011-04-23,Berlin,Ostern/Frühjahr
2011-04-24,Berlin,Ostern/Frühjahr
2011-04-25,Berlin,Ostern/Frühjahr
2011-04-26,Berlin,Ostern/Frühjahr
2011-04-27,Berlin,Ostern/Frühjahr
2011-04-28,Berlin,Ostern/Frühjahr
2011-04-29,Berlin,Ostern/Frühjahr
2011-04-30,Berlin,Ostern/Frühjahr
2011-06-03,Berlin,Himmelfahrt/Pfingsten
2011-06-29,Berlin,Himmelfahrt/Pfingsten
2011-06-30,Berlin,Sommer
2011-07-01,Berlin,Sommer
2011-07-02,Berlin,Sommer
2011-07-03,Berlin,Sommer
2011-07-04,Berlin,Sommer
2011-07-05,Berlin,Sommer
2011-07-06,Berlin,Sommer
2011-07-07,Berlin,Sommer
2011-07-08,Berlin,Sommer
2011-07-09,Berlin,Sommer
2011-07-10,Berlin,Sommer
2011-07-11,Berlin,Sommer
2011-07-12,Berlin,Sommer
2011-07-13,Berlin,Sommer
2011-07-14,Berlin,Sommer
2011-07-15,Berlin,Sommer
2011-07-16,Berlin,Sommer
2011-07-17,Berlin,Sommer
2011-07-18,Berlin,Sommer
2011-07-19,Berlin,Sommer
2011-07-20,Berlin,Sommer
2011-07-21,Berlin,Sommer
2011-07-22,Berlin,Sommer
2011-07-23,Berlin,Sommer
2011-07-24,Berlin,Sommer
2011-07-25,Berlin,Sommer
2011-07-26,Berlin,Sommer
2011-07-27,Berlin,Sommer
2011-07-28,Berlin,Sommer
2011-07-29,Berlin,Sommer
2011-07-30,Berlin,Sommer
2011-07-31,Berlin,Sommer
2011-08-01,Berlin,Sommer
2011-08-02,Berlin,Sommer
2011-08-03,Berlin,Sommer
2011-08-04,Berlin,Sommer
2011-08-05,Berlin,Sommer
2011-08-06,Berlin,Sommer
2011-08-07,Berlin,Sommer
2011-08-08,Berlin,Sommer
2011-08-09,Berlin,Sommer
2011-08-10,Berlin,Sommer
2011-08-11,Berlin,Sommer
2011-08-12,Berlin,Sommer
2010-10-11,Brandenburg,Herbst
2010-10-12,Brandenburg,Herbst
2010-10-13,Brandenburg,Herbst
2010-10-14,Brandenburg,Herbst
2010-10-15,Brandenburg,Herbst
2010-10-16,Brandenburg,Herbst
2010-10-17,Brandenburg,Herbst
2010-10-18,Brandenburg,Herbst
2010-10-19,Brandenburg,Herbst
2010-10-20,Brandenburg,Herbst
2010-10-21,Brandenburg,Herbst
2010-10-22,Brandenburg,Herbst
2010-10-23,Brandenburg,Herbst
2010-12-23,Brandenburg,Weihnachten
2010-12-24,Brandenburg,Weihnachten
2010-12-25,Brandenburg,Weihnachten
2010-12-26,Brandenburg,Weihnachten
2010-12-27,Brandenburg,Weihnachten
2010-12-28,Brandenburg,Weihnachten
2010-12-29,Brandenburg,Weihnachten
2010-12-30,Brandenburg,Weihnachten
2010-12-31,Brandenburg,Weihnachten
2011-01-01,Brandenburg,Weihnachten
2011-01-31,Brandenburg,Winter
2011-02-01,Brandenburg,Winter
2011-02-02,Brandenburg,Winter
2011-02-03,Brandenburg,Winter
2011-02-04,Brandenburg,Winter
2011-02-05,Brandenburg,Winter
2011-04-20,Brandenburg,Ostern/Frühjahr
2011-04-21,Brandenburg,Ostern/Frühjahr
2011-04-22,Brandenburg,Ostern/Frühjahr
2011-04-23,Brandenburg,Ostern/Frühjahr
2011-04-24,Brandenburg,Ostern/Frühjahr
2011-04-25,Brandenburg,Ostern/Frühjahr
2011-04-26,Brandenburg,Ostern/Frühjahr
2011-04-27,Brandenburg,Ostern/Frühjahr
2011-04-28,Brandenburg,Ostern/Frühjahr
2011-04-29,Brandenburg,Ostern/Frühjahr
2011-04-30,Brandenburg,Ostern/Frühjahr
2011-06-03,Brandenburg,Himmelfahrt/Pfingsten
2011-06-30,Brandenburg,Sommer
2011-07-01,Brandenburg,Sommer
2011-07-02,Brandenburg,Sommer
2011-07-03,Brandenburg,Sommer
2011-07-04,Brandenburg,Sommer
2011-07-05,Brandenburg,Sommer
2011-07-06,Brandenburg,Sommer
2011-07-07,Brandenburg,Sommer
2011-07-08,Brandenburg,Sommer
2011-07-09,Brandenburg,Sommer
2011-07-10,Brandenburg,Sommer
2011-07-11,Brandenburg,Sommer
2011-07-12,Brandenburg,Sommer
2011-07-13,Brandenburg,Sommer
2011-07-14,Brandenburg,Sommer
2011-07-15,Brandenburg,Sommer
2011-07-16,Brandenburg,Sommer
2011-07-17,Brandenburg,Sommer
2011-07-18,Brandenburg,Sommer
2011-07-19,Brandenburg,Sommer
2011-07-20,Brandenburg,Sommer
2011-07-21,Brandenburg,Sommer
2011-07-22,Brandenburg,Sommer
2011-07-23,Brandenburg,Sommer
2011-07-24,Brandenburg,Sommer
2011-07-25,Brandenburg,Sommer
2011-07-26,Brandenburg,Sommer
2011-07-27,Brandenburg,Sommer
2011-07-28,Brandenburg,Sommer
2011-07-29,Brandenburg,Sommer
2011-07-30,Brandenburg,Sommer
2011-07-31,Brandenburg,Sommer
2011-08-01,Brandenburg,Sommer
2011-08-02,Brandenburg,Sommer
2011-08-03,Brandenburg,Sommer
2011-08-04,Brandenburg,Sommer
2011-08-05,Brandenburg,Sommer
2011-08-06,Brandenburg,Sommer
2011-08-07,Brandenburg,Sommer
2011-08-08,Brandenburg,Sommer
2011-08-09,Brandenburg,Sommer
2011-08-10,Brandenburg,Sommer
2011-08-11,Brandenburg,Sommer
2011-08-12,Brandenburg,Sommer
2011-08-13,Brandenburg,Sommer
2010-10-09,Bremen,Herbst
2010-10-10,Bremen,Herbst
2010-10-11,Bremen,Herbst
2010-10-12,Bremen,Herbst
2010-10-13,Bremen,Herbst
2010-10-14,Bremen,Herbst
2010-10-15,Bremen,Herbst
2010-10-16,Bremen,Herbst
2010-10-17,Bremen,Herbst
2010-10-18,Bremen,Herbst
2010-10-19,Bremen,Herbst
2010-10-20,Bremen,Herbst
2010-10-21,Bremen,Herbst
2010-10-22,Bremen,Herbst
2010-10-23,Bremen,Herbst
2010-12-22,Bremen,Weihnachten
2010-12-23,Bremen,Weihnachten
2010-12-24,Bremen,Weihnachten
2010-12-25,Bremen,Weihnachten
2010-12-26,Bremen,Weihnachten
2010-12-27,Bremen,Weihnachten
2010-12-28,Bremen,Weihnachten
2010-12-29,Bremen,Weihnachten
2010-12-30,Bremen,Weihnachten
2010-12-31,Bremen,Weihnachten
2011-01-01,Bremen,Weihnachten
2011-01-02,Bremen,Weihnachten
2011-01-03,Bremen,Weihnachten
2011-01-04,Bremen,Weihnachten
2011-01-05,Bremen,Weihnachten
2011-01-31,Bremen,Winter
2011-02-01,Bremen,Winter
2011-04-16,Bremen,Ostern/Frühjahr
2011-04-17,Bremen,Ostern/Frühjahr
2011-04-18,Bremen,Ostern/Frühjahr
2011-04-19,Bremen,Ostern/Frühjahr
2011-04-20,Bremen,Ostern/Frühjahr
2011-04-21,Bremen,Ostern/Frühjahr
2011-04-22,Bremen,Ostern/Frühjahr
2011-04-23,Bremen,Ostern/Frühjahr
2011-04-24,Bremen,Ostern/Frühjahr
2011-04-25,Bremen,Ostern/Frühjahr
2011-04-26,Bremen,Ostern/Frühjahr
2011-04-27,Bremen,Ostern/Frühjahr
2011-04-28,Bremen,Ostern/Frühjahr
2011-04-29,Bremen,Ostern/Frühjahr
2011-04-30,Bremen,Ostern/Frühjahr
2011-06-14,Bremen,Himmelfahrt/Pfingsten
2011-07-07,Bremen,Sommer
2011-07-08,Bremen,Sommer
2011-07-09,Bremen,Sommer
2011-07-10,Bremen,Sommer
2011-07-11,Bremen,Sommer
2011-07-12,Bremen,Sommer
2011-07-13,Bremen,Sommer
2011-07-14,Bremen,Sommer
2011-07-15,Bremen,Sommer
2011-07-16,Bremen,Sommer
2011-07-17,Bremen,Sommer
2011-07-18,Bremen,Sommer
2011-07-19,Bremen,Sommer
2011-07-20,Bremen,Sommer
2011-07-21,Bremen,Sommer
2011-07-22,Bremen,Sommer
2011-07-23,Bremen,Sommer
2011-07-24,Bremen,Sommer
2011-07-25,Bremen,Sommer
2011-07-26,Bremen,Sommer
2011-07-27,Bremen,Sommer
2011-07-28,Bremen,Sommer
2011-07-29,Bremen,Sommer
2011-07-30,Bremen,Sommer
2011-07-31,Bremen,Sommer
2011-08-01,Bremen,Sommer
2011-08-02,Bremen,Sommer
2011-08-03,Bremen,Sommer
2011-08-04,Bremen,Sommer
2011-08-05,Bremen,Sommer
2011-08-06,Bremen,Sommer
2011-08-07,Bremen,Sommer
2011-08-08,Bremen,Sommer
2011-08-09,Bremen,Sommer
2011-08-10,Bremen,Sommer
2011-08-11,Bremen,Sommer
2011-08-12,Bremen,Sommer
2011-08-13,Bremen,Sommer
2011-08-14,Bremen,Sommer
2011-08-15,Bremen,Sommer
2011-08-16,Bremen,Sommer
2011-08-17,Bremen,Sommer
2010-10-04,Hamburg,Herbst
2010-10-05,Hamburg,Herbst
2010-10-06,Hamburg,Herbst
2010-10-07,Hamburg,Herbst
2010-10-08,Hamburg,Herbst
2010-10-09,Hamburg,Herbst
2010-10-10,Hamburg,Herbst
2010-10-11,Hamburg,Herbst
2010-10-12,Hamburg,Herbst
2010-10-13,Hamburg,Herbst
2010-10-14,Hamburg,Herbst
2010-10-15,Hamburg,Herbst
2010-12-23,Hamburg,Weihnachten
2010-12-24,Hamburg,Weihnachten
2010-12-25,Hamburg,Weihnachten
2010-12-26,Hamburg,Weihnachten
2010-12-27,Hamburg,Weihnachten
2010-12-28,Hamburg,Weihnachten
2010-12-29,Hamburg,Weihnachten
2010-12-30,Hamburg,Weihnachten
2010-12-31,Hamburg,Weihnachten
2011-01-01,Hamburg,Weihnachten
2011-01-02,Hamburg,Weihnachten
