date,state,holiday
2023-10-30,Baden-Württemberg,Herbst
2023-10-31,Baden-Württemberg,Herbst
2023-11-01,Baden-Württemberg,Herbst
2023-11-02,Baden-Württemberg,Herbst
2023-11-03,Baden-Württemberg,Herbst
2023-12-23,Baden-Württemberg,Weihnachten
2023-12-24,Baden-Württemberg,Weihnachten
2023-12-25,Baden-Württemberg,Weihnachten
2023-12-26,Baden-Württemberg,Weihnachten
2023-12-27,Baden-Württemberg,Weihnachten
2023-12-28,Baden-Württemberg,Weihnachten
2023-12-29,Baden-Württemberg,Weihnachten
2023-12-30,Baden-Württemberg,Weihnachten
2023-12-31,Baden-Württemberg,Weihnachten
2024-01-01,Baden-Württemberg,Weihnachten
2024-01-02,Baden-Württemberg,Weihnachten
2024-01-03,Baden-Württemberg,Weihnachten
2024-01-04,Baden-Württemberg,Weihnachten
2024-01-05,Baden-Württemberg,Weihnachten
2024-03-23,Baden-Württemberg,Ostern/Frühjahr
2024-03-24,Baden-Württemberg,Ostern/Frühjahr
2024-03-25,Baden-Württemberg,Ostern/Frühjahr
2024-03-26,Baden-Württemberg,Ostern/Frühjahr
2024-03-27,Baden-Württemberg,Ostern/Frühjahr
2024-03-28,Baden-Württemberg,Ostern/Frühjahr
2024-03-29,Baden-Württemberg,Ostern/Frühjahr
2024-03-30,Baden-Württemberg,Ostern/Frühjahr
2024-03-31,Baden-Württemberg,Ostern/Frühjahr
2024-04-01,Baden-Württemberg,Ostern/Frühjahr
2024-04-02,Baden-Württemberg,Ostern/Frühjahr
2024-04-03,Baden-Württemberg,Ostern/Frühjahr
2024-04-04,Baden-Württemberg,Ostern/Frühjahr
2024-04-05,Baden-Württemberg,Ostern/Frühjahr
2024-05-21,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-22,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-23,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-24,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-25,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-26,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-27,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-28,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-29,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-30,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-05-31,Baden-Württemberg,Himmelfahrt/Pfingsten
2024-07-25,Baden-Württemberg,Sommer
2024-07-26,Baden-Württemberg,Sommer
2024-07-27,Baden-Württemberg,Sommer
2024-07-28,Baden-Württemberg,Sommer
2024-07-29,Baden-Württemberg,Sommer
2024-07-30,Baden-Württemberg,Sommer
2024-07-31,Baden-Württemberg,Sommer
2024-08-01,Baden-Württemberg,Sommer
2024-08-02,Baden-Württemberg,Sommer
2024-08-03,Baden-Württemberg,Sommer
2024-08-04,Baden-Württemberg,Sommer
2024-08-05,Baden-Württemberg,Sommer
2024-08-06,Baden-Württemberg,Sommer
2024-08-07,Baden-Württemberg,Sommer
