date,state,holiday
2021-10-31,Baden-Württemberg,Herbst
2021-11-02,Baden-Württemberg,Herbst
2021-11-03,Baden-Württemberg,Herbst
2021-11-04,Baden-Württemberg,Herbst
2021-11-05,Baden-Württemberg,Herbst
2021-11-06,Baden-Württemberg,Herbst
2021-12-23,Baden-Württemberg,Weihnachten
2021-12-24,Baden-Württemberg,Weihnachten
2021-12-25,Baden-Württemberg,Weihnachten
2021-12-26,Baden-Württemberg,Weihnachten
2021-12-27,Baden-Württemberg,Weihnachten
2021-12-28,Baden-Württemberg,Weihnachten
2021-12-29,Baden-Württemberg,Weihnachten
2021-12-30,Baden-Württemberg,Weihnachten
2021-12-31,Baden-Württemberg,Weihnachten
2022-01-01,Baden-Württemberg,Weihnachten
2022-01-02,Baden-Württemberg,Weihnachten
2022-01-03,Baden-Württemberg,Weihnachten
2022-01-04,Baden-Württemberg,Weihnachten
2022-01-05,Baden-Württemberg,Weihnachten
2022-01-06,Baden-Württemberg,Weihnachten
2022-01-07,Baden-Württemberg,Weihnachten
2022-01-08,Baden-Württemberg,Weihnachten
2022-04-14,Baden-Württemberg,Ostern/Frühjahr
2022-04-19,Baden-Württemberg,Ostern/Frühjahr
2022-04-20,Baden-Württemberg,Ostern/Frühjahr
2022-04-21,Baden-Württemberg,Ostern/Frühjahr
2022-04-22,Baden-Württemberg,Ostern/Frühjahr
2022-04-23,Baden-Württemberg,Ostern/Frühjahr
2022-06-07,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-08,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-09,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-10,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-11,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-12,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-13,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-14,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-15,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-16,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-17,Baden-Württemberg,Himmelfahrt/Pfingsten
2022-06-18,Baden-Württemberg,Himmelfahrt/Pfingsten
2021-11-02,Bayern,Herbst
2021-11-03,Bayern,Herbst
2021-11-04,Bayern,Herbst
2021-11-05,Bayern,Herbst
2021-12-24,Bayern,Weihnachten
2021-12-25,Bayern,Weihnachten
2021-12-26,Bayern,Weihnachten
2021-12-27,Bayern,Weihnachten
2021-12-28,Bayern,Weihnachten
2021-12-29,Bayern,Weihnachten
2021-12-30,Bayern,Weihnachten
2021-12-31,Bayern,Weihnachten
2022-01-01,Bayern,Weihnachten
2022-01-02,Bayern,Weihnachten
2022-01-03,Bayern,Weihnachten
2022-01-04,Bayern,Weihnachten
2022-01-05,Bayern,Weihnachten
2022-01-06,Bayern,Weihnachten
2022-01-07,Bayern,Weihnachten
2022-01-08,Bayern,Weihnachten
2022-02-28,Bayern,Ostern/Frühjahr
2022-03-01,Bayern,Ostern/Frühjahr
2022-03-02,Bayern,Ostern/Frühjahr
2022-03-03,Bayern,Ostern/Frühjahr
2022-03-04,Bayern,Ostern/Frühjahr
2022-04-11,Bayern,Ostern/Frühjahr
2022-04-12,Bayern,Ostern/Frühjahr
2022-04-13,Bayern,Ostern/Frühjahr
2022-04-14,Bayern,Ostern/Frühjahr
2022-04-15,Bayern,Ostern/Frühjahr
2022-04-16,Bayern,Ostern/Frühjahr
2022-04-17,Bayern,Ostern/Frühjahr
2022-04-18,Bayern,Ostern/Frühjahr
2022-04-19,Bayern,Ostern/Frühjahr
2022-04-20,Bayern,Ostern/Frühjahr
2022-04-21,Bayern,Ostern/Frühjahr
2022-04-22,Bayern,Ostern/Frühjahr
2022-04-23,Bayern,Ostern/Frühjahr
2022-06-07,Bayern,Himmelfahrt/Pfingsten
2022-06-08,Bayern,Himmelfahrt/Pfingsten
2022-06-09,Bayern,Himmelfahrt/Pfingsten
2022-06-10,Bayern,Himmelfahrt/Pfingsten
2022-06-11,Bayern,Himmelfahrt/Pfingsten
2022-06-12,Bayern,Himmelfahrt/Pfingsten
2022-06-13,Bayern,Himmelfahrt/Pfingsten
2022-06-14,Bayern,Himmelfahrt/Pfingsten
2022-06-15,Bayern,Himmelfahrt/Pfingsten
2022-06-16,Bayern,Himmelfahrt/Pfingsten
2022-06-17,Bayern,Himmelfahrt/Pfingsten
2022-06-18,Bayern,Himmelfahrt/Pfingsten
2021-10-11,Berlin,Herbst
2021-10-12,Berlin,Herbst
2021-10-13,Berlin,Herbst
2021-10-14,Berlin,Herbst
2021-10-15,Berlin,Herbst
2021-10-16,Berlin,Herbst
2021-10-17,Berlin,Herbst
2021-10-18,Berlin,Herbst
2021-10-19,Berlin,Herbst
2021-10-20,Berlin,Herbst
2021-10-21,Berlin,Herbst
2021-10-22,Berlin,Herbst
2021-10-23,Berlin,Herbst
2021-12-24,Berlin,Weihnachten
2021-12-25,Berlin,Weihnachten
2021-12-26,Berlin,Weihnachten
2021-12-27,Berlin,Weihnachten
2021-12-28,Berlin,Weihnachten
2021-12-29,Berlin,Weihnachten
2021-12-30,Berlin,Weihnachten
2021-12-31,Berlin,Weihnachten
2022-01-29,Berlin,Winter
2022-01-30,Berlin,Winter
2022-01-31,Berlin,Winter
2022-02-01,Berlin,Winter
2022-02-02,Berlin,Winter
2022-02-03,Berlin,Winter
2022-02-04,Berlin,Winter
2022-02-05,Berlin,Winter
2022-03-07,Berlin,Ostern/Frühjahr
2022-04-11,Berlin,Ostern/Frühjahr
2022-04-12,Berlin,Ostern/Frühjahr
2022-04-13,Berlin,Ostern/Frühjahr
2022-04-14,Berlin,Ostern/Frühjahr
2022-04-15,Berlin,Ostern/Frühjahr
2022-04-16,Berlin,Ostern/Frühjahr
2022-04-17,Berlin,Ostern/Frühjahr
2022-04-18,Berlin,Ostern/Frühjahr
2022-04-19,Berlin,Ostern/Frühjahr
2022-04-20,Berlin,Ostern/Frühjahr
2022-04-21,Berlin,Ostern/Frühjahr
2022-04-22,Berlin,Ostern/Frühjahr
2022-04-23,Berlin,Ostern/Frühjahr
2022-05-27,Berlin,Himmelfahrt/Pfingsten
2022-06-07,Berlin,Himmelfahrt/Pfingsten
2021-10-11,Brandenburg,Herbst
2021-10-12,Brandenburg,Herbst
2021-10-13,Brandenburg,Herbst
2021-10-14,Brandenburg,Herbst
2021-10-15,Brandenburg,Herbst
2021-10-16,Brandenburg,Herbst
2021-10-17,Brandenburg,Herbst
2021-10-18,Brandenburg,Herbst
2021-10-19,Brandenburg,Herbst
2021-10-20,Brandenburg,Herbst
2021-10-21,Brandenburg,Herbst
2021-10-22,Brandenburg,Herbst
2021-10-23,Brandenburg,Herbst
2021-12-23,Brandenburg,Weihnachten
2021-12-24,Brandenburg,Weihnachten
2021-12-25,Brandenburg,Weihnachten
2021-12-26,Brandenburg,Weihnachten
2021-12-27,Brandenburg,Weihnachten
2021-12-28,Brandenburg,Weihnachten
2021-12-29,Brandenburg,Weihnachten
2021-12-30,Brandenburg,Weihnachten
2021-12-31,Brandenburg,Weihnachten
2022-01-31,Brandenburg,Winter
2022-02-01,Brandenburg,Winter
2022-02-02,Brandenburg,Winter
2022-02-03,Brandenburg,Winter
2022-02-04,Brandenburg,Winter
2022-02-05,Brandenburg,Winter
2022-04-11,Brandenburg,Ostern/Frühjahr
2022-04-12,Brandenburg,Ostern/Frühjahr
2022-04-13,Brandenburg,Ostern/Frühjahr
2022-04-14,Brandenburg,Ostern/Frühjahr
2022-04-15,Brandenburg,Ostern/Frühjahr
2022-04-16,Brandenburg,Ostern/Frühjahr
2022-04-17,Brandenburg,Ostern/Frühjahr
2022-04-18,Brandenburg,Ostern/Frühjahr
2022-04-19,Brandenburg,Ostern/Frühjahr
2022-04-20,Brandenburg,Ostern/Frühjahr
2022-04-21,Brandenburg,Ostern/Frühjahr
2022-04-22,Brandenburg,Ostern/Frühjahr
2022-04-23,Brandenburg,Ostern/Frühjahr
2021-10-18,Bremen,Herbst
2021-10-19,Bremen,Herbst
2021-10-20,Bremen,Herbst
2021-10-21,Bremen,Herbst
2021-10-22,Bremen,Herbst
2021-10-23,Bremen,Herbst
2021-10-24,Bremen,Herbst
2021-10-25,Bremen,Herbst
2021-10-26,Bremen,Herbst
2021-10-27,Bremen,Herbst
2021-10-28,Bremen,Herbst
2021-10-29,Bremen,Herbst
2021-10-30,Bremen,Herbst
2021-12-23,Bremen,Weihnachten
2021-12-24,Bremen,Weihnachten
2021-12-25,Bremen,Weihnachten
2021-12-26,Bremen,Weihnachten
2021-12-27,Bremen,Weihnachten
2021-12-28,Bremen,Weihnachten
2021-12-29,Bremen,Weihnachten
2021-12-30,Bremen,Weihnachten
2021-12-31,Bremen,Weihnachten
2022-01-01,Bremen,Weihnachten
2022-01-02,Bremen,Weihnachten
