state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2017-10-30;2017-11-03
Baden-Württemberg;Weihnachten;2017-12-22;2018-01-05
Baden-Württemberg;Ostern/Frühjahr;2018-03-26;2018-04-06
Baden-Württemberg;Himmelfahrt/Pfingsten;2018-05-22;2018-06-02
Baden-Württemberg;Sommer;2018-07-26;2017-09-08
Bayern;Herbst;2017-10-30;2017-11-03
Bayern;Weihnachten;2017-12-23;2018-01-05
Bayern;Winter;2018-02-12;2018-02-16
Bayern;Ostern/Frühjahr;2018-03-26;2018-04-07
Bayern;Himmelfahrt/Pfingsten;2018-05-22;2018-06-02
Bayern;Sommer;2018-07-30;2017-09-10
Berlin;Herbst;2017-10-02;2017-10-02
Berlin;Herbst;2017-10-23;2017-11-04
Berlin;Weihnachten;2017-12-21;2018-01-02
Berlin;Winter;2018-02-05;2018-02-10
Berlin;Ostern/Frühjahr;2018-03-26;2018-04-06
Berlin;Himmelfahrt/Pfingsten;2018-04-30;2018-04-30
Berlin;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Berlin;Himmelfahrt/Pfingsten;2018-05-22;2018-05-22
Berlin;Sommer;2018-07-05;2017-08-17
Brandenburg;Herbst;2017-10-23;2017-11-04
Brandenburg;Weihnachten;2017-12-21;2018-01-02
Brandenburg;Winter;2018-02-05;2018-02-10
Brandenburg;Ostern/Frühjahr;2018-03-26;2018-04-06
Brandenburg;Sommer;2018-07-05;2017-08-18
Bremen;Herbst;2017-10-02;2017-10-14
Bremen;Herbst;2017-10-30;2017-10-30
Bremen;Weihnachten;2017-12-22;2018-01-06
Bremen;Winter;2018-02-01;2018-02-02
Bremen;Ostern/Frühjahr;2018-03-19;2018-04-03
Bremen;Himmelfahrt/Pfingsten;2018-04-30;2018-04-30
Bremen;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Bremen;Himmelfahrt/Pfingsten;2018-05-22;2018-05-22
Bremen;Sommer;2018-06-28;2017-08-08
Hamburg;Herbst;2017-10-02;2017-10-02
Hamburg;Herbst;2017-10-16;2017-10-27
Hamburg;Weihnachten;2017-12-22;2018-01-05
Hamburg;Winter;2018-02-02;2018-02-02
Hamburg;Ostern/Frühjahr;2018-03-05;2018-03-16
Hamburg;Himmelfahrt/Pfingsten;2018-04-30;2018-04-30
Hamburg;Himmelfahrt/Pfingsten;2018-05-07;2018-05-11
Hamburg;Sommer;2018-07-05;2017-08-15
Hessen;Herbst;2017-10-09;2017-10-21
Hessen;Weihnachten;2017-12-24;2018-01-13
Hessen;Ostern/Frühjahr;2018-03-26;2018-04-07
Hessen;Sommer;2018-06-25;2017-08-03
Mecklenburg-Vorpommern;Herbst;2017-10-02;2017-10-02
Mecklenburg-Vorpommern;Herbst;2017-10-23;2017-10-30
Mecklenburg-Vorpommern;Weihnachten;2017-12-21;2018-01-03
Mecklenburg-Vorpommern;Winter;2018-02-05;2018-02-16
Mecklenburg-Vorpommern;Ostern/Frühjahr;2018-03-26;2018-04-04
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2018-05-18;2018-05-22
Mecklenburg-Vorpommern;Sommer;2018-07-09;2017-08-18
Niedersachsen;Herbst;2017-10-02;2017-10-13
Niedersachsen;Herbst;2017-10-30;2017-10-30
Niedersachsen;Weihnachten;2017-12-22;2018-01-05
Niedersachsen;Winter;2018-02-01;2018-02-02
Niedersachsen;Ostern/Frühjahr;2018-03-19;2018-04-03
Niedersachsen;Himmelfahrt/Pfingsten;2018-04-30;2018-04-30
Niedersachsen;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Niedersachsen;Himmelfahrt/Pfingsten;2018-05-22;2018-05-22
Niedersachsen;Sommer;2018-06-28;2017-08-08
Nordrhein-Westfalen;Herbst;2017-10-23;2017-11-04
Nordrhein-Westfalen;Weihnachten;2017-12-27;2018-01-06
Nordrhein-Westfalen;Ostern/Frühjahr;2018-03-26;2018-04-07
Nordrhein-Westfalen;Himmelfahrt/Pfingsten;2018-05-22;2018-05-25
Nordrhein-Westfalen;Sommer;2018-07-16;2017-08-28
Rheinland-Pfalz;Herbst;2017-10-02;2017-10-13
Rheinland-Pfalz;Weihnachten;2017-12-22;2018-01-09
Rheinland-Pfalz;Ostern/Frühjahr;2018-03-26;2018-04-06
Rheinland-Pfalz;Sommer;2018-06-25;2017-08-03
Saarland;Herbst;2017-10-02;2017-10-14
Saarland;Weihnachten;2017-12-21;2018-01-05
Saarland;Winter;2018-02-12;2018-02-17
Saarland;Ostern/Frühjahr;2018-03-26;2018-04-06
Saarland;Sommer;2018-06-25;2017-08-03
Sachsen;Herbst;2017-10-02;2017-10-14
Sachsen;Herbst;2017-10-30;2017-10-30
Sachsen;Weihnachten;2017-12-23;2018-01-02
Sachsen;Winter;2018-02-12;2018-02-23
Sachsen;Ostern/Frühjahr;2018-03-29;2018-04-06
Sachsen;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Sachsen;Himmelfahrt/Pfingsten;2018-05-19;2018-05-22
Sachsen;Sommer;2018-07-02;2017-08-10
Sachsen-Anhalt;Herbst;2017-10-02;2017-10-13
Sachsen-Anhalt;Herbst;2017-10-30;2017-10-30
Sachsen-Anhalt;Weihnachten;2017-12-21;2018-01-03
Sachsen-Anhalt;Winter;2018-02-05;2018-02-09
Sachsen-Anhalt;Ostern/Frühjahr;2018-03-26;2018-03-31
Sachsen-Anhalt;Ostern/Frühjahr;2018-04-30;2018-04-30
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2018-05-11;2018-05-19
Sachsen-Anhalt;Sommer;2018-06-28;2017-08-08
Schleswig-Holstein;Herbst;2017-10-16;2017-10-27
Schleswig-Holstein;Weihnachten;2017-12-21;2018-01-06
Schleswig-Holstein;Ostern/Frühjahr;2018-03-29;2018-04-13
Schleswig-Holstein;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Schleswig-Holstein;Sommer;2018-07-09;2017-08-18
Thüringen;Herbst;2017-10-02;2017-10-14
Thüringen;Weihnachten;2017-12-22;2018-01-05
Thüringen;Winter;2018-02-05;2018-02-09
Thüringen;Ostern/Frühjahr;2018-03-26;2018-04-07
Thüringen;Himmelfahrt/Pfingsten;2018-05-11;2018-05-11
Thüringen;Sommer;2018-07-02;2017-08-11
