state;holiday;startdate;enddate
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2023-05-26;2023-05-30
Mecklenburg-Vorpommern;Sommer;2023-07-17;2022-08-26
Niedersachsen;Herbst;2022-10-17;2022-10-28
Niedersachsen;Weihnachten;2022-12-23;2023-01-06
Niedersachsen;Winter;2023-01-30;2023-01-31
Niedersachsen;Ostern/Frühjahr;2023-03-27;2023-04-11
Niedersachsen;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
Niedersachsen;Himmelfahrt/Pfingsten;2023-05-30;2023-05-30
Niedersachsen;Sommer;2023-07-06;2022-08-16
Nordrhein-Westfalen;Herbst;2022-10-04;2022-10-15
Nordrhein-Westfalen;Weihnachten;2022-12-23;2023-01-06
Nordrhein-Westfalen;Ostern/Frühjahr;2023-04-03;2023-04-15
Nordrhein-Westfalen;Himmelfahrt/Pfingsten;2023-05-30;2023-05-30
Nordrhein-Westfalen;Sommer;2023-06-22;2022-08-04
Rheinland-Pfalz;Herbst;2022-10-17;2022-10-31
Rheinland-Pfalz;Weihnachten;2022-12-23;2023-01-02
Rheinland-Pfalz;Ostern/Frühjahr;2023-04-03;2023-04-06
Rheinland-Pfalz;Himmelfahrt/Pfingsten;2023-05-30;2023-06-07
Rheinland-Pfalz;Sommer;2023-07-24;2022-09-01
Saarland;Herbst;2022-10-24;2022-11-04
Saarland;Weihnachten;2022-12-22;2023-01-04
Saarland;Winter;2023-02-20;2023-02-24
Saarland;Ostern/Frühjahr;2023-04-03;2023-04-12
Saarland;Himmelfahrt/Pfingsten;2023-05-30;2023-06-02
Saarland;Sommer;2023-07-24;2022-09-01
Sachsen;Herbst;2022-10-17;2022-10-29
Sachsen;Weihnachten;2022-12-22;2023-01-02
Sachsen;Winter;2023-02-13;2023-02-24
Sachsen;Ostern/Frühjahr;2023-04-07;2023-04-15
Sachsen;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
Sachsen;Sommer;2023-07-10;2022-08-18
Sachsen-Anhalt;Herbst;2022-10-24;2022-11-04
Sachsen-Anhalt;Weihnachten;2022-12-21;2023-01-05
Sachsen-Anhalt;Winter;2023-02-06;2023-02-11
Sachsen-Anhalt;Ostern/Frühjahr;2023-04-03;2023-04-08
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2023-05-15;2023-05-19
Sachsen-Anhalt;Sommer;2023-07-06;2022-08-16
Schleswig-Holstein;Herbst;2022-10-10;2022-10-21
Schleswig-Holstein;Weihnachten;2022-12-23;2023-01-07
Schleswig-Holstein;Ostern/Frühjahr;2023-04-06;2023-04-22
Schleswig-Holstein;Himmelfahrt/Pfingsten;2023-05-19;2023-05-20
Schleswig-Holstein;Sommer;2023-07-17;2022-08-26
Thüringen;Weihnachten;2022-12-22;2023-01-03
Thüringen;Herbst;2022-10-17;2022-10-29
Thüringen;Winter;2023-02-13;2023-02-17
Thüringen;Ostern/Frühjahr;2023-04-03;2023-04-15
Thüringen;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
Thüringen;Sommer;2023-07-10;2022-08-19
