state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2022-10-31;2022-10-31
Baden-Württemberg;Herbst;2022-11-02;2022-11-04
Baden-Württemberg;Weihnachten;2022-12-21;2023-01-07
Baden-Württemberg;Ostern/Frühjahr;2023-04-06;2023-04-06
Baden-Württemberg;Ostern/Frühjahr;2023-04-11;2023-04-15
Baden-Württemberg;Himmelfahrt/Pfingsten;2023-05-30;2023-06-09
Baden-Württemberg;Sommer;2023-07-27;2022-09-09
Bayern;Herbst;2022-10-31;2022-11-04
Bayern;Weihnachten;2022-12-24;2023-01-07
Bayern;Ostern/Frühjahr;2023-02-20;2023-02-24
Bayern;Ostern/Frühjahr;2023-04-03;2023-04-15
Bayern;Himmelfahrt/Pfingsten;2023-05-30;2023-06-09
Bayern;Sommer;2023-07-31;2022-09-11
Berlin;Herbst;2022-10-24;2022-11-05
Berlin;Weihnachten;2022-12-22;2023-01-02
Berlin;Winter;2023-01-30;2023-02-04
Berlin;Ostern/Frühjahr;2023-04-03;2023-04-14
Berlin;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
Berlin;Himmelfahrt/Pfingsten;2023-05-30;2023-05-30
Berlin;Sommer;2023-07-13;2022-08-25
Brandenburg;Weihnachten;2022-12-22;2023-01-03
Brandenburg;Herbst;2022-10-24;2022-11-05
Brandenburg;Winter;2023-01-30;2023-02-03
Brandenburg;Ostern/Frühjahr;2023-04-03;2023-04-14
Brandenburg;Sommer;2023-07-13;2022-08-26
Bremen;Herbst;2022-10-17;2022-10-29
Bremen;Weihnachten;2022-12-23;2023-01-06
Bremen;Winter;2023-01-30;2023-01-31
Bremen;Ostern/Frühjahr;2023-03-27;2023-04-11
Bremen;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
Bremen;Himmelfahrt/Pfingsten;2023-05-30;2023-05-30
Bremen;Sommer;2023-07-06;2022-08-16
Hamburg;Herbst;2022-10-10;2022-10-21
Hamburg;Weihnachten;2022-12-23;2023-01-06
Hamburg;Winter;2023-01-27;2023-01-27
Hamburg;Ostern/Frühjahr;2023-03-06;2023-03-17
Hamburg;Himmelfahrt/Pfingsten;2023-05-15;2023-05-19
Hamburg;Sommer;2023-07-13;2022-08-23
Hessen;Herbst;2022-10-24;2022-10-29
Hessen;Weihnachten;2022-12-22;2023-01-07
Hessen;Ostern/Frühjahr;2023-04-03;2023-04-22
Hessen;Sommer;2023-07-24;2022-09-01
Mecklenburg-Vorpommern;Herbst;2022-10-10;2022-10-14
Mecklenburg-Vorpommern;Herbst;2022-11-01;2022-11-02
Mecklenburg-Vorpommern;Weihnachten;2022-12-22;2023-01-02
Mecklenburg-Vorpommern;Winter;2023-02-06;2023-02-18
Mecklenburg-Vorpommern;Ostern/Frühjahr;2023-04-03;2023-04-12
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2023-05-19;2023-05-19
