state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2012-10-29,2012-11-02
Baden-Württemberg,Weihnachten,2012-12-24,2013-01-05
Baden-Württemberg,Ostern/Frühjahr,2013-03-25,2013-04-05
Baden-Württemberg,Himmelfahrt/Pfingsten,2013-05-21,2013-06-01
Baden-Württemberg,Sommer,2013-07-25,2012-09-07
Bayern,Herbst,2012-10-29,2012-11-03
Bayern,Weihnachten,2012-12-24,2013-01-05
Bayern,Winter,2013-02-11,2013-02-15
Bayern,Ostern/Frühjahr,2013-03-25,2013-04-06
Bayern,Himmelfahrt/Pfingsten,2013-05-21,2013-05-31
Bayern,Sommer,2013-07-31,2012-09-11
Berlin,Herbst,2012-10-01,2012-10-13
Berlin,Weihnachten,2012-12-24,2013-01-04
Berlin,Winter,2013-02-04,2013-02-09
Berlin,Ostern/Frühjahr,2013-03-25,2013-04-06
Berlin,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Berlin,Himmelfahrt/Pfingsten,2013-05-21,2013-05-21
Berlin,Sommer,2013-06-19,2013-08-02
Brandenburg,Herbst,2012-10-01,2012-10-13
Brandenburg,Weihnachten,2012-12-24,2013-01-04
Brandenburg,Winter,2013-02-04,2013-02-09
Brandenburg,Ostern/Frühjahr,2013-03-27,2013-04-06
Brandenburg,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Brandenburg,Sommer,2013-06-20,2013-08-02
Bremen,Herbst,2012-10-22,2012-11-03
Bremen,Weihnachten,2012-12-24,2013-01-05
Bremen,Winter,2013-01-31,2013-02-01
Bremen,Ostern/Frühjahr,2013-03-16,2013-04-02
Bremen,Himmelfahrt/Pfingsten,2013-05-21,2013-05-21
Bremen,Sommer,2013-06-27,2013-08-07
Hamburg,Herbst,2012-10-01,2012-10-12
Hamburg,Weihnachten,2012-12-21,2013-01-04
Hamburg,Winter,2013-02-01,2013-02-01
Hamburg,Ostern/Frühjahr,2013-03-04,2013-03-15
Hamburg,Himmelfahrt/Pfingsten,2013-05-02,2013-05-10
Hamburg,Sommer,2013-06-20,2013-07-31
Hessen,Herbst,2012-10-15,2012-10-27
Hessen,Weihnachten,2012-12-24,2013-01-12
Hessen,Ostern/Frühjahr,2013-03-25,2013-04-06
Hessen,Sommer,2013-07-08,2013-08-16
Mecklenburg-Vorpommern,Herbst,2012-10-01,2012-10-05
Mecklenburg-Vorpommern,Weihnachten,2012-12-21,2013-01-04
Mecklenburg-Vorpommern,Winter,2013-02-04,2013-02-15
Mecklenburg-Vorpommern,Ostern/Frühjahr,2013-03-25,2013-04-03
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2013-05-17,2013-05-21
Mecklenburg-Vorpommern,Sommer,2013-06-22,2013-08-03
Niedersachsen,Herbst,2012-10-22,2012-11-03
Niedersachsen,Weihnachten,2012-12-24,2013-01-05
Niedersachsen,Winter,2013-01-31,2013-02-01
Niedersachsen,Ostern/Frühjahr,2013-03-16,2013-04-02
Niedersachsen,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Niedersachsen,Himmelfahrt/Pfingsten,2013-05-21,2013-05-21
Niedersachsen,Sommer,2013-06-27,2013-08-07
Nordrhein-Westfalen,Herbst,2012-10-08,2012-10-20
Nordrhein-Westfalen,Weihnachten,2012-12-21,2013-01-04
Nordrhein-Westfalen,Ostern/Frühjahr,2013-03-25,2013-04-06
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2013-05-21,2013-05-21
Nordrhein-Westfalen,Sommer,2013-07-22,2012-09-03
Rheinland-Pfalz,Herbst,2012-10-01,2012-10-12
Rheinland-Pfalz,Weihnachten,2012-12-20,2013-01-04
Rheinland-Pfalz,Ostern/Frühjahr,2013-03-20,2013-04-05
Rheinland-Pfalz,Sommer,2013-07-08,2013-08-16
Saarland,Herbst,2012-10-22,2012-11-03
Saarland,Weihnachten,2012-12-24,2013-01-05
Saarland,Winter,2013-02-11,2013-02-16
Saarland,Ostern/Frühjahr,2013-03-25,2013-04-06
Saarland,Sommer,2013-07-08,2013-08-17
Sachsen,Herbst,2012-10-22,2012-11-02
Sachsen,Weihnachten,2012-12-22,2013-01-02
Sachsen,Winter,2013-02-04,2013-02-15
Sachsen,Ostern/Frühjahr,2013-03-29,2013-04-06
Sachsen,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Sachsen,Himmelfahrt/Pfingsten,2013-05-18,2013-05-22
Sachsen,Sommer,2013-07-15,2013-08-23
Sachsen-Anhalt,Herbst,2012-10-29,2012-11-02
Sachsen-Anhalt,Weihnachten,2012-12-19,2013-01-04
Sachsen-Anhalt,Winter,2013-02-01,2013-02-08
Sachsen-Anhalt,Ostern/Frühjahr,2013-03-25,2013-03-30
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2013-05-10,2013-05-18
Sachsen-Anhalt,Sommer,2013-07-15,2013-08-28
Schleswig-Holstein,Herbst,2012-10-04,2012-10-19
Schleswig-Holstein,Weihnachten,2012-12-24,2013-01-05
Schleswig-Holstein,Ostern/Frühjahr,2013-03-25,2013-04-09
Schleswig-Holstein,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Schleswig-Holstein,Sommer,2013-06-24,2013-08-03
Thüringen,Herbst,2012-10-22,2012-11-03
Thüringen,Weihnachten,2012-12-24,2013-01-05
Thüringen,Winter,2013-02-18,2013-02-23
Thüringen,Ostern/Frühjahr,2013-03-25,2013-04-06
Thüringen,Himmelfahrt/Pfingsten,2013-05-10,2013-05-10
Thüringen,Sommer,2013-07-15,2013-08-23
