state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2009-10-26,2009-10-30
Baden-Württemberg,Weihnachten,2009-12-23,2010-01-09
Baden-Württemberg,Ostern/Frühjahr,2010-04-06,2010-04-10
Baden-Württemberg,Himmelfahrt/Pfingsten,2010-05-25,2010-06-05
Baden-Württemberg,Sommer,2010-07-29,2010-09-11
Bayern,Herbst,2009-11-02,2009-11-07
Bayern,Weihnachten,2009-12-24,2010-01-05
Bayern,Winter,2010-02-15,2010-02-20
Bayern,Ostern/Frühjahr,2010-03-29,2010-04-10
Bayern,Himmelfahrt/Pfingsten,2010-05-25,2010-06-05
Bayern,Sommer,2010-08-02,2010-09-13
Berlin,Herbst,2009-10-19,2009-10-30
Berlin,Weihnachten,2009-12-21,2010-01-02
Berlin,Winter,2010-02-01,2010-02-06
Berlin,Ostern/Frühjahr,2010-03-31,2010-04-10
Berlin,Himmelfahrt/Pfingsten,2010-05-14,2010-05-14
Berlin,Himmelfahrt/Pfingsten,2010-05-25,2010-05-25
Berlin,Sommer,2010-07-07,2010-08-21
Brandenburg,Herbst,2009-10-19,2009-10-30
Brandenburg,Weihnachten,2009-12-21,2010-01-02
Brandenburg,Winter,2010-02-01,2010-02-06
Brandenburg,Ostern/Frühjahr,2010-03-31,2010-04-10
Brandenburg,Sommer,2010-07-08,2010-08-21
Bremen,Herbst,2009-10-05,2009-10-17
Bremen,Weihnachten,2009-12-23,2010-01-06
Bremen,Winter,2010-02-01,2010-02-02
Bremen,Ostern/Frühjahr,2010-03-19,2010-04-06
Bremen,Himmelfahrt/Pfingsten,2010-05-25,2010-05-25
Bremen,Sommer,2010-06-24,2010-08-04
Hamburg,Herbst,2009-10-12,2009-10-24
Hamburg,Weihnachten,2009-12-21,2009-12-31
Hamburg,Winter,2010-01-29,2010-01-29
Hamburg,Ostern/Frühjahr,2010-03-08,2010-03-20
Hamburg,Himmelfahrt/Pfingsten,2010-05-14,2010-05-22
Hamburg,Sommer,2010-07-08,2010-08-18
Hessen,Herbst,2009-10-12,2009-10-24
Hessen,Weihnachten,2009-12-21,2010-01-09
Hessen,Ostern/Frühjahr,2010-03-29,2010-04-10
Hessen,Sommer,2010-07-05,2010-08-14
Mecklenburg-Vorpommern,Herbst,2009-10-26,2009-10-30
Mecklenburg-Vorpommern,Weihnachten,2009-12-21,2010-01-02
Mecklenburg-Vorpommern,Winter,2010-02-06,2010-02-20
Mecklenburg-Vorpommern,Ostern/Frühjahr,2010-03-29,2010-04-07
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2010-05-21,2010-05-22
Mecklenburg-Vorpommern,Sommer,2010-07-12,2010-08-21
Niedersachsen,Herbst,2009-10-05,2009-10-17
Niedersachsen,Weihnachten,2009-12-23,2010-01-06
Niedersachsen,Winter,2010-02-01,2010-02-02
Niedersachsen,Ostern/Frühjahr,2010-03-19,2010-04-06
Niedersachsen,Himmelfahrt/Pfingsten,2010-05-14,2010-05-14
Niedersachsen,Himmelfahrt/Pfingsten,2010-05-25,2010-05-25
Niedersachsen,Sommer,2010-06-24,2010-08-04
Nordrhein-Westfalen,Herbst,2009-10-12,2009-10-24
Nordrhein-Westfalen,Weihnachten,2009-12-24,2010-01-06
Nordrhein-Westfalen,Ostern/Frühjahr,2010-03-27,2010-04-10
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2010-05-25,2010-05-25
Nordrhein-Westfalen,Sommer,2010-07-15,2010-08-27
Rheinland-Pfalz,Herbst,2009-10-12,2009-10-23
Rheinland-Pfalz,Weihnachten,2009-12-21,2010-01-05
Rheinland-Pfalz,Ostern/Frühjahr,2010-03-26,2010-04-09
Rheinland-Pfalz,Sommer,2010-07-05,2010-08-13
Saarland,Herbst,2009-10-19,2009-10-31
Saarland,Weihnachten,2009-12-18,2010-01-02
Saarland,Winter,2010-02-15,2010-02-20
Saarland,Ostern/Frühjahr,2010-03-29,2010-04-10
Saarland,Sommer,2010-07-05,2010-08-14
Sachsen,Herbst,2009-10-12,2009-10-24
Sachsen,Weihnachten,2009-12-23,2010-01-02
Sachsen,Winter,2010-02-08,2010-02-20
Sachsen,Ostern/Frühjahr,2010-04-01,2010-04-10
Sachsen,Himmelfahrt/Pfingsten,2010-05-14,2010-05-14
Sachsen,Sommer,2010-06-28,2010-08-06
Sachsen-Anhalt,Herbst,2009-10-12,2009-10-17
Sachsen-Anhalt,Weihnachten,2009-12-21,2010-01-05
Sachsen-Anhalt,Winter,2010-02-08,2010-02-13
Sachsen-Anhalt,Ostern/Frühjahr,2010-03-29,2010-04-09
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2010-05-14,2010-05-22
Sachsen-Anhalt,Sommer,2010-06-24,2010-08-04
Schleswig-Holstein,Herbst,2009-10-12,2009-10-24
Schleswig-Holstein,Weihnachten,2009-12-21,2010-01-06
Schleswig-Holstein,Ostern/Frühjahr,2010-04-03,2010-04-17
Schleswig-Holstein,Sommer,2010-07-12,2010-08-21
Thüringen,Herbst,2009-10-12,2009-10-24
Thüringen,Weihnachten,2009-12-19,2010-01-02
Thüringen,Winter,2010-02-01,2010-02-06
Thüringen,Ostern/Frühjahr,2010-03-29,2010-04-09
Thüringen,Sommer,2010-06-24,2010-08-04
