state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2010-11-02;2010-11-06
Baden-Württemberg;Weihnachten;2010-12-23;2011-01-08
Baden-Württemberg;Ostern/Frühjahr;2011-04-26;2011-04-30
Baden-Württemberg;Himmelfahrt/Pfingsten;2011-06-14;2011-06-25
Baden-Württemberg;Sommer;2011-07-28;2010-09-10
Bayern;Herbst;2010-11-02;2010-11-05
Bayern;Weihnachten;2010-12-24;2011-01-07
Bayern;Ostern/Frühjahr;2011-03-07;2011-03-11
Bayern;Ostern/Frühjahr;2011-04-18;2011-04-30
Bayern;Himmelfahrt/Pfingsten;2011-06-14;2011-06-25
Bayern;Sommer;2011-07-30;2010-09-12
Berlin;Herbst;2010-10-11;2010-10-23
Berlin;Weihnachten;2010-12-23;2011-01-01
Berlin;Winter;2011-01-31;2011-02-05
Berlin;Ostern/Frühjahr;2011-04-18;2011-04-30
Berlin;Himmelfahrt/Pfingsten;2011-06-03;2011-06-03
Berlin;Himmelfahrt/Pfingsten;2011-06-29;2011-06-29
Berlin;Sommer;2011-06-30;2011-08-12
Brandenburg;Herbst;2010-10-11;2010-10-23
Brandenburg;Weihnachten;2010-12-23;2011-01-01
Brandenburg;Winter;2011-01-31;2011-02-05
Brandenburg;Ostern/Frühjahr;2011-04-20;2011-04-30
Brandenburg;Himmelfahrt/Pfingsten;2011-06-03;2011-06-03
Brandenburg;Sommer;2011-06-30;2011-08-13
Bremen;Herbst;2010-10-09;2010-10-23
Bremen;Weihnachten;2010-12-22;2011-01-05
Bremen;Winter;2011-01-31;2011-02-01
Bremen;Ostern/Frühjahr;2011-04-16;2011-04-30
Bremen;Himmelfahrt/Pfingsten;2011-06-14;2011-06-14
Bremen;Sommer;2011-07-07;2011-08-17
Hamburg;Herbst;2010-10-04;2010-10-15
Hamburg;Weihnachten;2010-12-23;2011-01-03
Hamburg;Winter;2011-01-31;2011-01-31
Hamburg;Ostern/Frühjahr;2011-03-07;2011-03-18
Hamburg;Himmelfahrt/Pfingsten;2011-04-26;2011-04-29
Hamburg;Himmelfahrt/Pfingsten;2011-06-03;2011-06-03
Hamburg;Sommer;2011-06-30;2011-08-10
Hessen;Herbst;2010-10-11;2010-10-22
Hessen;Weihnachten;2010-12-20;2011-01-07
Hessen;Ostern/Frühjahr;2011-04-18;2011-04-30
Hessen;Sommer;2011-06-27;2011-08-05
Mecklenburg-Vorpommern;Herbst;2010-10-18;2010-10-23
Mecklenburg-Vorpommern;Weihnachten;2010-12-23;2010-12-31
Mecklenburg-Vorpommern;Winter;2011-02-07;2011-02-19
Mecklenburg-Vorpommern;Ostern/Frühjahr;2011-04-16;2011-04-27
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2011-06-10;2011-06-14
Mecklenburg-Vorpommern;Sommer;2011-07-04;2011-08-13
Niedersachsen;Herbst;2010-10-09;2010-10-23
Niedersachsen;Weihnachten;2010-12-22;2011-01-05
Niedersachsen;Winter;2011-01-31;2011-02-01
Niedersachsen;Ostern/Frühjahr;2011-04-16;2011-04-30
Niedersachsen;Himmelfahrt/Pfingsten;2011-06-03;2011-06-03
Niedersachsen;Himmelfahrt/Pfingsten;2011-06-14;2011-06-14
Niedersachsen;Sommer;2011-07-07;2011-08-17
Nordrhein-Westfalen;Herbst;2010-10-11;2010-10-23
Nordrhein-Westfalen;Weihnachten;2010-12-24;2011-01-08
Nordrhein-Westfalen;Ostern/Frühjahr;2011-04-18;2011-04-30
Nordrhein-Westfalen;Sommer;2011-07-25;2010-09-06
Rheinland-Pfalz;Herbst;2010-10-11;2010-10-22
Rheinland-Pfalz;Weihnachten;2010-12-23;2011-01-07
Rheinland-Pfalz;Ostern/Frühjahr;2011-04-18;2011-04-29
Rheinland-Pfalz;Sommer;2011-06-27;2011-08-05
Saarland;Herbst;2010-10-11;2010-10-23
Saarland;Weihnachten;2010-12-20;2010-12-31
Saarland;Winter;2011-03-07;2011-03-12
Saarland;Ostern/Frühjahr;2011-04-18;2011-04-30
Saarland;Sommer;2011-06-24;2011-08-06
Sachsen;Herbst;2010-10-04;2010-10-16
Sachsen;Weihnachten;2010-12-23;2011-01-01
Sachsen;Winter;2011-02-12;2011-02-26
Sachsen;Ostern/Frühjahr;2011-04-22;2011-04-30
Sachsen;Himmelfahrt/Pfingsten;2011-06-03;2011-06-03
Sachsen;Sommer;2011-07-11;2011-08-19
Sachsen-Anhalt;Herbst;2010-10-18;2010-10-23
Sachsen-Anhalt;Weihnachten;2010-12-22;2011-01-05
Sachsen-Anhalt;Winter;2011-02-05;2011-02-12
Sachsen-Anhalt;Ostern/Frühjahr;2011-04-18;2011-04-27
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2011-06-14;2011-06-18
Sachsen-Anhalt;Sommer;2011-07-11;2011-08-24
Schleswig-Holstein;Herbst;2010-10-11;2010-10-23
Schleswig-Holstein;Weihnachten;2010-12-23;2011-01-07
Schleswig-Holstein;Ostern/Frühjahr;2011-04-15;2011-04-30
Schleswig-Holstein;Himmelfahrt/Pfingsten;2011-06-03;2011-06-04
Schleswig-Holstein;Sommer;2011-07-04;2011-08-13
Thüringen;Herbst;2010-10-09;2010-10-23
Thüringen;Weihnachten;2010-12-23;2010-12-31
Thüringen;Winter;2011-01-31;2011-02-05
Thüringen;Ostern/Frühjahr;2011-04-18;2011-04-30
Thüringen;Himmelfahrt/Pfingsten;2011-06-11;2011-06-14
Thüringen;Sommer;2011-07-11;2011-08-19
