state;holiday;startdate;enddate
Bayern;Sommer;2021-08-01;2021-09-12
Baden-Württemberg;Herbst;2020-10-26;2020-10-31
Baden-Württemberg;Weihnachten;2020-12-23;2021-01-09
Baden-Württemberg;Ostern/Frühjahr;2021-04-01;2021-04-01
Baden-Württemberg;Ostern/Frühjahr;2021-04-06;2021-04-10
Baden-Württemberg;Himmelfahrt/Pfingsten;2021-05-25;2021-06-05
Baden-Württemberg;Sommer;2021-07-29;2021-09-11
Bayern;Herbst;2020-10-31;2020-11-06
Bayern;Weihnachten;2020-12-23;2021-01-09
Bayern;Winter;2021-02-15;2021-02-19
Bayern;Ostern/Frühjahr;2021-03-29;2021-04-10
Bayern;Himmelfahrt/Pfingsten;2021-05-25;2021-06-04
Bayern;Sommer;2021-07-30;2021-09-13
Berlin;Herbst;2020-10-12;2020-10-24
Berlin;Weihnachten;2020-12-21;2021-01-02
Berlin;Winter;2021-02-01;2021-02-06
Berlin;Ostern/Frühjahr;2021-03-29;2021-04-10
Berlin;Himmelfahrt/Pfingsten;2021-05-14;2021-05-14
Berlin;Sommer;2021-06-24;2021-08-06
Brandenburg;Herbst;2020-10-12;2020-10-24
Brandenburg;Weihnachten;2020-12-21;2021-01-02
Brandenburg;Winter;2021-02-01;2021-02-06
Brandenburg;Ostern/Frühjahr;2021-03-29;2021-04-09
Brandenburg;Sommer;2021-06-24;2021-08-07
Bremen;Herbst;2020-10-12;2020-10-24
Bremen;Weihnachten;2020-12-23;2021-01-08
Bremen;Winter;2021-02-01;2021-02-02
Bremen;Ostern/Frühjahr;2021-03-27;2021-04-10
Bremen;Himmelfahrt/Pfingsten;2021-05-14;2021-05-14
Bremen;Himmelfahrt/Pfingsten;2021-05-25;2021-05-25
Bremen;Sommer;2021-07-22;2021-09-01
Hamburg;Herbst;2020-10-05;2020-10-16
Hamburg;Weihnachten;2020-12-21;2021-01-04
Hamburg;Winter;2021-01-29;2021-01-29
Hamburg;Ostern/Frühjahr;2021-03-01;2021-03-12
Hamburg;Himmelfahrt/Pfingsten;2021-05-10;2021-05-14
Hamburg;Sommer;2021-06-24;2021-08-04
Hessen;Herbst;2020-10-05;2020-10-17
Hessen;Weihnachten;2020-12-21;2021-01-09
Hessen;Ostern/Frühjahr;2021-04-06;2021-04-16
Hessen;Sommer;2021-07-19;2021-08-27
Mecklenburg-Vorpommern;Herbst;2020-10-05;2020-10-10
Mecklenburg-Vorpommern;Herbst;2020-11-02;2020-11-03
Mecklenburg-Vorpommern;Weihnachten;2020-12-21;2021-01-02
