state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2019-10-28;2019-10-31
Baden-Württemberg;Weihnachten;2019-12-23;2020-01-04
Baden-Württemberg;Ostern/Frühjahr;2020-04-06;2020-04-18
Baden-Württemberg;Himmelfahrt/Pfingsten;2020-06-02;2020-06-13
Baden-Württemberg;Sommer;2020-07-30;2020-09-12
Bayern;Herbst;2019-10-28;2019-10-31
Bayern;Weihnachten;2019-12-23;2020-01-04
Bayern;Winter;2020-02-24;2020-02-28
Bayern;Ostern/Frühjahr;2020-04-06;2020-04-18
Bayern;Himmelfahrt/Pfingsten;2020-06-02;2020-06-13
Bayern;Sommer;2020-07-27;2020-09-07
Berlin;Herbst;2019-10-04;2019-10-04
Berlin;Herbst;2019-10-07;2019-10-19
Berlin;Weihnachten;2019-12-23;2020-01-04
Berlin;Winter;2020-02-03;2020-02-08
Berlin;Ostern/Frühjahr;2020-04-06;2020-04-17
Berlin;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Berlin;Sommer;2020-06-25;2020-08-07
Brandenburg;Herbst;2019-10-04;2019-10-18
Brandenburg;Weihnachten;2019-12-23;2020-01-03
Brandenburg;Winter;2020-02-03;2020-02-08
Brandenburg;Ostern/Frühjahr;2020-04-06;2020-04-17
Brandenburg;Sommer;2020-06-25;2020-08-08
Bremen;Herbst;2019-10-04;2019-10-18
Bremen;Weihnachten;2019-12-21;2020-01-06
Bremen;Winter;2020-02-03;2020-02-04
Bremen;Ostern/Frühjahr;2020-03-28;2020-04-14
Bremen;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Bremen;Himmelfahrt/Pfingsten;2020-06-02;2020-06-02
Bremen;Sommer;2020-07-16;2020-08-26
Hamburg;Herbst;2019-10-04;2019-10-18
Hamburg;Herbst;2019-11-01;2019-11-01
Hamburg;Weihnachten;2019-12-20;2020-01-03
Hamburg;Winter;2020-01-31;2020-01-31
Hamburg;Ostern/Frühjahr;2020-03-02;2020-03-13
Hamburg;Himmelfahrt/Pfingsten;2020-05-18;2020-05-22
Hamburg;Sommer;2020-06-25;2020-08-05
Hessen;Herbst;2019-09-30;2019-10-12
Hessen;Weihnachten;2019-12-23;2020-01-11
Hessen;Ostern/Frühjahr;2020-04-06;2020-04-18
Hessen;Sommer;2020-07-06;2020-08-14
Mecklenburg-Vorpommern;Herbst;2019-10-04;2019-10-12
Mecklenburg-Vorpommern;Herbst;2019-11-01;2019-11-01
Mecklenburg-Vorpommern;Weihnachten;2019-12-23;2020-01-04
Mecklenburg-Vorpommern;Winter;2020-02-10;2020-02-21
Mecklenburg-Vorpommern;Ostern/Frühjahr;2020-04-06;2020-04-15
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2020-05-29;2020-06-02
Mecklenburg-Vorpommern;Sommer;2020-06-22;2020-08-01
Niedersachsen;Herbst;2019-10-04;2019-10-18
Niedersachsen;Weihnachten;2019-12-23;2020-01-06
Niedersachsen;Winter;2020-02-03;2020-02-04
Niedersachsen;Ostern/Frühjahr;2020-03-30;2020-04-14
Niedersachsen;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Niedersachsen;Himmelfahrt/Pfingsten;2020-06-02;2020-06-02
Niedersachsen;Sommer;2020-07-16;2020-08-26
Nordrhein-Westfalen;Herbst;2019-10-14;2019-10-26
Nordrhein-Westfalen;Weihnachten;2019-12-23;2020-01-06
Nordrhein-Westfalen;Ostern/Frühjahr;2020-04-06;2020-04-18
Nordrhein-Westfalen;Himmelfahrt/Pfingsten;2020-06-02;2020-06-02
Rheinland-Pfalz;Herbst;2019-09-30;2019-10-11
Rheinland-Pfalz;Weihnachten;2019-12-23;2020-01-06
Rheinland-Pfalz;Winter;2020-02-17;2020-02-21
Rheinland-Pfalz;Ostern/Frühjahr;2020-04-09;2020-04-17
Rheinland-Pfalz;Sommer;2020-07-06;2020-08-14
Saarland;Herbst;2019-10-07;2019-10-18
Saarland;Weihnachten;2019-12-23;2020-01-03
Saarland;Winter;2020-02-17;2020-02-25
Saarland;Ostern/Frühjahr;2020-04-14;2020-04-24
Saarland;Sommer;2020-07-06;2020-08-14
Sachsen;Herbst;2019-10-14;2019-10-25
Sachsen;Weihnachten;2019-12-21;2020-01-03
Sachsen;Winter;2020-02-10;2020-02-22
Sachsen;Ostern/Frühjahr;2020-04-10;2020-04-18
Sachsen;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Sachsen;Sommer;2020-07-20;2020-08-28
Sachsen-Anhalt;Herbst;2019-10-04;2019-10-11
Sachsen-Anhalt;Herbst;2019-11-01;2019-11-01
Sachsen-Anhalt;Weihnachten;2019-12-23;2020-01-04
Sachsen-Anhalt;Winter;2020-02-10;2020-02-14
Sachsen-Anhalt;Ostern/Frühjahr;2020-04-06;2020-04-11
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2020-05-18;2020-05-30
Sachsen-Anhalt;Sommer;2020-07-16;2020-08-26
Schleswig-Holstein;Herbst;2019-10-04;2019-10-18
Schleswig-Holstein;Weihnachten;2019-12-23;2020-01-06
Schleswig-Holstein;Ostern/Frühjahr;2020-03-30;2020-04-17
Schleswig-Holstein;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Schleswig-Holstein;Sommer;2020-06-29;2020-08-08
Thüringen;Herbst;2019-10-07;2019-10-19
Thüringen;Weihnachten;2019-12-21;2020-01-03
Thüringen;Winter;2020-02-10;2020-02-14
Thüringen;Ostern/Frühjahr;2020-04-06;2020-04-18
Thüringen;Himmelfahrt/Pfingsten;2020-05-22;2020-05-22
Thüringen;Sommer;2020-07-20;2020-08-29
