state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2025-10-27;2025-10-30
Baden-Württemberg;Herbst;2025-10-31;2025-10-31
Baden-Württemberg;Weihnachten;2025-12-22;2026-01-05
Baden-Württemberg;Ostern/Frühjahr;2026-03-30;2026-04-11
Baden-Württemberg;Himmelfahrt/Pfingsten;2026-05-26;2026-06-05
Baden-Württemberg;Sommer;2026-07-30;2026-09-12
Bayern;Herbst;2025-11-03;2025-11-07
Bayern;Weihnachten;2025-12-22;2026-01-05
Bayern;Ostern/Frühjahr;2026-02-16;2026-02-20
Bayern;Ostern/Frühjahr;2026-03-30;2026-04-10
Bayern;Himmelfahrt/Pfingsten;2026-05-26;2026-06-05
Bayern;Sommer;2026-08-03;2026-09-14
Berlin;Herbst;2025-10-20;2025-11-01
Berlin;Weihnachten;2025-12-22;2026-01-02
Berlin;Winter;2026-02-02;2026-02-07
Berlin;Ostern/Frühjahr;2026-03-30;2026-04-10
Berlin;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Berlin;Himmelfahrt/Pfingsten;2026-05-26;2026-05-26
Berlin;Sommer;2026-07-09;2026-08-22
Brandenburg;Herbst;2025-10-20;2025-11-01
Brandenburg;Weihnachten;2025-12-22;2026-01-02
Brandenburg;Winter;2026-02-02;2026-02-07
Brandenburg;Ostern/Frühjahr;2026-03-30;2026-04-10
Brandenburg;Himmelfahrt/Pfingsten;2026-05-26;2026-05-26
Brandenburg;Sommer;2026-07-09;2026-08-22
Bremen;Herbst;2025-10-13;2025-10-25
Bremen;Weihnachten;2025-12-22;2026-01-05
Bremen;Winter;2026-02-02;2026-02-03
Bremen;Ostern/Frühjahr;2026-03-23;2026-04-07
Bremen;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Bremen;Himmelfahrt/Pfingsten;2026-05-26;2026-05-26
Bremen;Sommer;2026-07-02;2026-08-12
Hamburg;Herbst;2025-10-20;2025-10-31
Hamburg;Weihnachten;2025-12-17;2026-01-02
Hamburg;Winter;2026-01-30;2026-01-30
Hamburg;Ostern/Frühjahr;2026-03-02;2026-03-13
Hamburg;Himmelfahrt/Pfingsten;2026-05-11;2026-05-15
Hamburg;Sommer;2026-07-09;2026-08-19
Hessen;Herbst;2025-10-06;2025-10-18
Hessen;Weihnachten;2025-12-22;2026-01-10
