state;holiday;startdate;enddate
Hessen;Ostern/Frühjahr;2026-03-30;2026-04-10
Hessen;Sommer;2026-06-29;2026-08-07
Mecklenburg-Vorpommern;Herbst;2025-10-02;2025-10-02
Mecklenburg-Vorpommern;Herbst;2025-10-20;2025-10-24
Mecklenburg-Vorpommern;Herbst;2025-11-03;2025-11-03
Mecklenburg-Vorpommern;Weihnachten;2025-12-20;2026-01-03
Mecklenburg-Vorpommern;Winter;2026-02-09;2026-02-20
Mecklenburg-Vorpommern;Ostern/Frühjahr;2026-03-30;2026-04-08
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2026-05-22;2026-05-26
Mecklenburg-Vorpommern;Sommer;2026-07-13;2026-08-22
Niedersachsen;Herbst;2025-10-13;2025-10-25
Niedersachsen;Weihnachten;2025-12-22;2026-01-05
Niedersachsen;Winter;2026-02-02;2026-02-03
Niedersachsen;Ostern/Frühjahr;2026-03-23;2026-04-07
Niedersachsen;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Niedersachsen;Himmelfahrt/Pfingsten;2026-05-26;2026-05-26
Niedersachsen;Sommer;2026-07-02;2026-08-12
Nordrhein-Westfalen;Herbst;2025-10-13;2025-10-25
Nordrhein-Westfalen;Weihnachten;2025-12-22;2026-01-06
Nordrhein-Westfalen;Ostern/Frühjahr;2026-03-30;2026-04-11
Nordrhein-Westfalen;Himmelfahrt/Pfingsten;2026-05-26;2026-05-26
Nordrhein-Westfalen;Sommer;2026-07-20;2026-09-01
Rheinland-Pfalz;Herbst;2025-10-13;2025-10-24
Rheinland-Pfalz;Weihnachten;2025-12-22;2026-01-07
Rheinland-Pfalz;Ostern/Frühjahr;2026-03-30;2026-04-10
Rheinland-Pfalz;Sommer;2026-06-29;2026-08-07
Saarland;Herbst;2025-10-13;2025-10-24
Saarland;Weihnachten;2025-12-22;2026-01-02
Saarland;Winter;2026-02-16;2026-02-20
Saarland;Ostern/Frühjahr;2026-04-07;2026-04-17
Saarland;Sommer;2026-06-29;2026-08-07
Sachsen;Herbst;2025-10-06;2025-10-18
Sachsen;Weihnachten;2025-12-22;2026-01-02
Sachsen;Winter;2026-02-09;2026-02-21
Sachsen;Ostern/Frühjahr;2026-04-03;2026-04-10
Sachsen;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Sachsen;Sommer;2026-07-04;2026-08-14
Sachsen-Anhalt;Herbst;2025-10-13;2025-10-25
Sachsen-Anhalt;Weihnachten;2025-12-22;2026-01-05
Sachsen-Anhalt;Winter;2026-01-31;2026-02-06
Sachsen-Anhalt;Ostern/Frühjahr;2026-03-30;2026-04-04
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2026-05-26;2026-05-29
Sachsen-Anhalt;Sommer;2026-07-04;2026-08-14
Schleswig-Holstein;Herbst;2025-10-20;2025-10-30
Schleswig-Holstein;Weihnachten;2025-12-19;2026-01-06
Schleswig-Holstein;Ostern/Frühjahr;2026-03-26;2026-04-10
Schleswig-Holstein;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Schleswig-Holstein;Sommer;2026-07-04;2026-08-15
Thüringen;Herbst;2025-10-06;2025-10-18
Thüringen;Weihnachten;2025-12-22;2026-01-03
Thüringen;Winter;2026-02-16;2026-02-21
Thüringen;Ostern/Frühjahr;2026-04-07;2026-04-17
Thüringen;Himmelfahrt/Pfingsten;2026-05-15;2026-05-15
Thüringen;Sommer;2026-07-04;2026-08-14
