state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2018-10-29,2018-11-02
Baden-Württemberg,Weihnachten,2018-12-24,2019-01-05
Baden-Württemberg,Ostern/Frühjahr,2019-04-15,2019-04-27
Baden-Württemberg,Himmelfahrt/Pfingsten,2019-06-11,2019-06-21
Baden-Württemberg,Sommer,2019-07-29,2018-09-10
Bayern,Herbst,2018-10-29,2018-11-02
Bayern,Weihnachten,2018-12-22,2019-01-05
Bayern,Ostern/Frühjahr,2019-03-04,2019-03-08
Bayern,Ostern/Frühjahr,2019-04-15,2019-04-27
Bayern,Himmelfahrt/Pfingsten,2019-06-11,2019-06-21
Bayern,Sommer,2019-07-29,2018-09-09
Berlin,Herbst,2018-10-22,2018-11-02
Berlin,Weihnachten,2018-12-22,2019-01-05
Berlin,Winter,2019-02-04,2019-02-09
Berlin,Ostern/Frühjahr,2019-04-15,2019-04-26
Berlin,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Berlin,Himmelfahrt/Pfingsten,2019-06-11,2019-06-11
Berlin,Sommer,2019-06-20,2018-08-02
Brandenburg,Herbst,2018-10-22,2018-11-02
Brandenburg,Weihnachten,2018-12-22,2019-01-05
Brandenburg,Winter,2019-02-04,2019-02-09
Brandenburg,Ostern/Frühjahr,2019-04-15,2019-04-26
Brandenburg,Sommer,2019-06-20,2018-08-03
Bremen,Herbst,2018-10-01,2018-10-13
Bremen,Weihnachten,2018-12-24,2019-01-04
Bremen,Winter,2019-01-31,2019-02-01
Bremen,Ostern/Frühjahr,2019-04-06,2019-04-23
Bremen,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Bremen,Himmelfahrt/Pfingsten,2019-06-11,2019-06-11
Bremen,Sommer,2019-07-04,2018-08-14
Hamburg,Herbst,2018-10-01,2018-10-12
Hamburg,Weihnachten,2018-12-20,2019-01-04
Hamburg,Winter,2019-02-01,2019-02-01
Hamburg,Ostern/Frühjahr,2019-03-04,2019-03-15
Hamburg,Himmelfahrt/Pfingsten,2019-05-13,2019-05-17
Hamburg,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Hamburg,Sommer,2019-06-27,2018-08-07
Hessen,Herbst,2018-10-01,2018-10-13
Hessen,Weihnachten,2018-12-24,2019-01-12
Hessen,Ostern/Frühjahr,2019-04-15,2019-04-27
Hessen,Sommer,2019-07-01,2018-08-09
Mecklenburg-Vorpommern,Herbst,2018-10-08,2018-10-13
Mecklenburg-Vorpommern,Herbst,2018-11-01,2018-11-02
Mecklenburg-Vorpommern,Weihnachten,2018-12-24,2019-01-05
Mecklenburg-Vorpommern,Winter,2019-02-04,2019-02-15
Mecklenburg-Vorpommern,Ostern/Frühjahr,2019-04-15,2019-04-24
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2019-06-07,2019-06-11
Mecklenburg-Vorpommern,Sommer,2019-07-01,2018-08-10
Niedersachsen,Herbst,2018-10-01,2018-10-12
Niedersachsen,Weihnachten,2018-12-24,2019-01-04
Niedersachsen,Winter,2019-01-31,2019-02-01
Niedersachsen,Ostern/Frühjahr,2019-04-08,2019-04-23
Niedersachsen,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Niedersachsen,Himmelfahrt/Pfingsten,2019-06-11,2019-06-11
Niedersachsen,Sommer,2019-07-04,2018-08-14
Nordrhein-Westfalen,Herbst,2018-10-15,2018-10-27
Nordrhein-Westfalen,Weihnachten,2018-12-21,2019-01-04
Nordrhein-Westfalen,Ostern/Frühjahr,2019-04-15,2019-04-27
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2019-06-11,2019-06-11
Nordrhein-Westfalen,Sommer,2019-07-15,2018-08-27
Rheinland-Pfalz,Herbst,2018-10-01,2018-10-12
Rheinland-Pfalz,Weihnachten,2018-12-20,2019-01-04
Rheinland-Pfalz,Winter,2019-02-25,2019-03-01
Rheinland-Pfalz,Ostern/Frühjahr,2019-04-23,2019-04-30
Rheinland-Pfalz,Sommer,2019-07-01,2018-08-09
Saarland,Herbst,2018-10-01,2018-10-12
Saarland,Weihnachten,2018-12-20,2019-01-04
Saarland,Winter,2019-02-25,2019-03-05
Saarland,Ostern/Frühjahr,2019-04-17,2019-04-26
Saarland,Sommer,2019-07-01,2018-08-09
Sachsen,Herbst,2018-10-08,2018-10-20
Sachsen,Weihnachten,2018-12-22,2019-01-04
Sachsen,Winter,2019-02-18,2019-03-02
Sachsen,Ostern/Frühjahr,2019-04-19,2019-04-26
Sachsen,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Sachsen,Sommer,2019-07-08,2018-08-16
Sachsen-Anhalt,Herbst,2018-10-01,2018-10-12
Sachsen-Anhalt,Weihnachten,2018-12-19,2019-01-04
Sachsen-Anhalt,Winter,2019-02-11,2019-02-15
Sachsen-Anhalt,Ostern/Frühjahr,2019-04-18,2019-04-30
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2019-05-31,2019-06-01
Sachsen-Anhalt,Sommer,2019-07-04,2018-08-14
Schleswig-Holstein,Herbst,2018-10-01,2018-10-19
Schleswig-Holstein,Weihnachten,2018-12-21,2019-01-04
Schleswig-Holstein,Ostern/Frühjahr,2019-04-04,2019-04-18
Schleswig-Holstein,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Schleswig-Holstein,Sommer,2019-07-01,2018-08-10
Thüringen,Herbst,2018-10-01,2018-10-13
Thüringen,Weihnachten,2018-12-21,2019-01-04
Thüringen,Winter,2019-02-11,2019-02-15
Thüringen,Ostern/Frühjahr,2019-04-15,2019-04-27
Thüringen,Himmelfahrt/Pfingsten,2019-05-31,2019-05-31
Thüringen,Sommer,2019-07-08,2018-08-17
Nordrhein-Westfalen,Sommer,2019-06-29,2020-08-11
