state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2014-10-27,2014-10-30
Baden-Württemberg,Weihnachten,2014-12-22,2015-01-05
Baden-Württemberg,Ostern/Frühjahr,2015-03-30,2015-04-10
Baden-Württemberg,Himmelfahrt/Pfingsten,2015-05-26,2015-06-06
Baden-Württemberg,Sommer,2015-07-30,2015-09-12
Bayern,Herbst,2014-10-27,2014-10-31
Bayern,Weihnachten,2014-12-24,2015-01-05
Bayern,Winter,2015-02-16,2015-02-20
Bayern,Ostern/Frühjahr,2015-03-30,2015-04-11
Bayern,Himmelfahrt/Pfingsten,2015-05-26,2015-06-05
Bayern,Sommer,2015-08-01,2015-09-14
Berlin,Herbst,2014-10-20,2014-11-01
Berlin,Weihnachten,2014-12-22,2015-01-02
Berlin,Winter,2015-02-02,2015-02-07
Berlin,Ostern/Frühjahr,2015-03-30,2015-04-11
Berlin,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Berlin,Himmelfahrt/Pfingsten,2015-05-26,2015-05-26
Berlin,Sommer,2015-07-16,2015-08-28
Brandenburg,Herbst,2014-10-20,2014-11-01
Brandenburg,Weihnachten,2014-12-22,2015-01-02
Brandenburg,Winter,2015-02-02,2015-02-07
Brandenburg,Ostern/Frühjahr,2015-04-01,2015-04-11
Brandenburg,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Brandenburg,Sommer,2015-07-16,2015-08-28
Bremen,Herbst,2014-10-27,2014-11-08
Bremen,Weihnachten,2014-12-22,2015-01-05
Bremen,Winter,2015-02-02,2015-02-03
Bremen,Ostern/Frühjahr,2015-03-25,2015-04-10
Bremen,Himmelfahrt/Pfingsten,2015-05-26,2015-05-26
Bremen,Sommer,2015-07-23,2015-09-02
Hamburg,Herbst,2014-10-13,2014-10-24
Hamburg,Weihnachten,2014-12-22,2015-01-06
Hamburg,Winter,2015-01-30,2015-01-30
Hamburg,Winter,2015-03-02,2015-03-13
Hamburg,Himmelfahrt/Pfingsten,2015-05-11,2015-05-15
Hamburg,Sommer,2015-07-16,2015-08-26
Hessen,Herbst,2014-10-20,2014-11-01
Hessen,Weihnachten,2014-12-22,2015-01-10
Hessen,Ostern/Frühjahr,2015-03-30,2015-04-11
Hessen,Sommer,2015-07-27,2015-09-04
Mecklenburg-Vorpommern,Herbst,2014-10-20,2014-10-25
Mecklenburg-Vorpommern,Weihnachten,2014-12-22,2015-01-02
Mecklenburg-Vorpommern,Winter,2015-02-02,2015-02-14
Mecklenburg-Vorpommern,Ostern/Frühjahr,2015-03-30,2015-04-08
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2015-05-22,2015-05-26
Mecklenburg-Vorpommern,Sommer,2015-07-20,2015-08-29
Niedersachsen,Herbst,2014-10-27,2014-11-08
Niedersachsen,Weihnachten,2014-12-22,2015-01-05
Niedersachsen,Winter,2015-02-02,2015-02-03
Niedersachsen,Ostern/Frühjahr,2015-03-25,2015-04-10
Niedersachsen,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Niedersachsen,Himmelfahrt/Pfingsten,2015-05-26,2015-05-26
Niedersachsen,Sommer,2015-07-23,2015-09-02
Nordrhein-Westfalen,Herbst,2014-10-06,2014-10-18
Nordrhein-Westfalen,Weihnachten,2014-12-22,2015-01-06
Nordrhein-Westfalen,Ostern/Frühjahr,2015-03-30,2015-04-11
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2015-05-26,2015-05-26
Nordrhein-Westfalen,Sommer,2015-06-29,2015-08-11
Rheinland-Pfalz,Herbst,2014-10-20,2014-10-31
Rheinland-Pfalz,Weihnachten,2014-12-22,2015-01-07
Rheinland-Pfalz,Ostern/Frühjahr,2015-03-26,2015-04-10
Rheinland-Pfalz,Sommer,2015-07-27,2015-09-04
Saarland,Herbst,2014-10-20,2014-10-31
Saarland,Weihnachten,2014-12-22,2015-01-07
Saarland,Winter,2015-02-16,2015-02-21
Saarland,Ostern/Frühjahr,2015-03-30,2015-04-11
Saarland,Sommer,2015-07-27,2015-09-05
Sachsen,Herbst,2014-10-20,2014-10-31
Sachsen,Weihnachten,2014-12-22,2015-01-03
Sachsen,Winter,2015-02-09,2015-02-21
Sachsen,Ostern/Frühjahr,2015-04-02,2015-04-11
Sachsen,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Sachsen,Sommer,2015-07-13,2015-08-21
Sachsen-Anhalt,Herbst,2014-10-27,2014-10-30
Sachsen-Anhalt,Weihnachten,2014-12-22,2015-01-05
Sachsen-Anhalt,Winter,2015-02-02,2015-02-14
Sachsen-Anhalt,Ostern/Frühjahr,2015-04-02,2015-04-02
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2015-05-15,2015-05-23
Sachsen-Anhalt,Sommer,2015-07-13,2015-08-26
Schleswig-Holstein,Herbst,2014-10-13,2014-10-25
Schleswig-Holstein,Weihnachten,2014-12-22,2015-01-06
Schleswig-Holstein,Ostern/Frühjahr,2015-04-01,2015-04-17
Schleswig-Holstein,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Schleswig-Holstein,Sommer,2015-07-20,2015-08-29
Thüringen,Herbst,2014-10-06,2014-10-18
Thüringen,Weihnachten,2014-12-22,2015-01-03
Thüringen,Winter,2015-02-02,2015-02-07
Thüringen,Ostern/Frühjahr,2015-03-30,2015-04-11
Thüringen,Himmelfahrt/Pfingsten,2015-05-15,2015-05-15
Thüringen,Sommer,2015-07-13,2015-08-21
