state;holiday;startdate;enddate
Baden-Württemberg;Herbst;2021-10-31;2021-10-31
Baden-Württemberg;Herbst;2021-11-02;2021-11-06
Baden-Württemberg;Weihnachten;2021-12-23;2022-01-08
Baden-Württemberg;Ostern/Frühjahr;2022-04-14;2022-04-14
Baden-Württemberg;Ostern/Frühjahr;2022-04-19;2022-04-23
Baden-Württemberg;Himmelfahrt/Pfingsten;2022-06-07;2022-06-18
Baden-Württemberg;Sommer;2022-07-28;2021-09-10
Bayern;Herbst;2021-11-02;2021-11-05
Bayern;Weihnachten;2021-12-24;2022-01-08
Bayern;Ostern/Frühjahr;2022-02-28;2022-03-04
Bayern;Ostern/Frühjahr;2022-04-11;2022-04-23
Bayern;Himmelfahrt/Pfingsten;2022-06-07;2022-06-18
Berlin;Herbst;2021-10-11;2021-10-23
Berlin;Weihnachten;2021-12-24;2021-12-31
Berlin;Winter;2022-01-29;2022-02-05
Berlin;Ostern/Frühjahr;2022-03-07;2022-03-07
Berlin;Ostern/Frühjahr;2022-04-11;2022-04-23
Berlin;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Berlin;Himmelfahrt/Pfingsten;2022-06-07;2022-06-07
Berlin;Sommer;2022-07-07;2021-08-19
Brandenburg;Herbst;2021-10-11;2021-10-23
Brandenburg;Weihnachten;2021-12-23;2021-12-31
Brandenburg;Winter;2022-01-31;2022-02-05
Brandenburg;Ostern/Frühjahr;2022-04-11;2022-04-23
Brandenburg;Sommer;2022-07-07;2021-08-20
Bremen;Herbst;2021-10-18;2021-10-30
Bremen;Weihnachten;2021-12-23;2022-01-08
Bremen;Winter;2022-01-31;2022-02-01
Bremen;Ostern/Frühjahr;2022-04-04;2022-04-19
Bremen;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Bremen;Himmelfahrt/Pfingsten;2022-06-07;2022-06-07
Bremen;Sommer;2022-07-14;2021-08-24
Hamburg;Herbst;2021-10-04;2021-10-15
Hamburg;Weihnachten;2021-12-23;2022-01-04
Hamburg;Winter;2022-01-28;2022-01-28
Hamburg;Ostern/Frühjahr;2022-03-07;2022-03-18
Hamburg;Himmelfahrt/Pfingsten;2022-05-23;2022-05-27
