state;holiday;startdate;enddate
Hamburg;Sommer;2022-07-07;2021-08-17
Hessen;Herbst;2021-10-11;2021-10-23
Hessen;Weihnachten;2021-12-23;2022-01-08
Hessen;Ostern/Frühjahr;2022-04-11;2022-04-23
Hessen;Sommer;2022-07-25;2021-09-02
Mecklenburg-Vorpommern;Herbst;2021-10-02;2021-10-09
Mecklenburg-Vorpommern;Herbst;2021-11-01;2021-11-02
Mecklenburg-Vorpommern;Weihnachten;2021-12-22;2021-12-31
Mecklenburg-Vorpommern;Winter;2022-02-05;2022-02-17
Mecklenburg-Vorpommern;Winter;2022-02-18;2022-02-18
Mecklenburg-Vorpommern;Ostern/Frühjahr;2022-04-11;2022-04-20
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Mecklenburg-Vorpommern;Himmelfahrt/Pfingsten;2022-06-03;2022-06-07
Mecklenburg-Vorpommern;Sommer;2022-07-04;2021-08-13
Niedersachsen;Herbst;2021-10-18;2021-10-29
Niedersachsen;Weihnachten;2021-12-23;2022-01-07
Niedersachsen;Winter;2022-01-31;2022-02-01
Niedersachsen;Ostern/Frühjahr;2022-04-04;2022-04-19
Niedersachsen;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Niedersachsen;Himmelfahrt/Pfingsten;2022-06-07;2022-06-07
Niedersachsen;Sommer;2022-07-14;2021-08-24
Nordrhein-Westfalen;Herbst;2021-10-11;2021-10-23
Nordrhein-Westfalen;Weihnachten;2021-12-24;2022-01-08
Nordrhein-Westfalen;Ostern/Frühjahr;2022-04-11;2022-04-23
Nordrhein-Westfalen;Sommer;2022-06-27;2021-08-09
Rheinland-Pfalz;Herbst;2021-10-11;2021-10-22
Rheinland-Pfalz;Weihnachten;2021-12-23;2021-12-31
Rheinland-Pfalz;Winter;2022-02-21;2022-02-25
Rheinland-Pfalz;Ostern/Frühjahr;2022-04-13;2022-04-22
Rheinland-Pfalz;Sommer;2022-07-25;2021-09-02
Saarland;Herbst;2021-10-18;2021-10-29
Saarland;Weihnachten;2021-12-23;2022-01-03
Saarland;Winter;2022-02-21;2022-03-01
Saarland;Ostern/Frühjahr;2022-04-14;2022-04-22
Saarland;Himmelfahrt/Pfingsten;2022-06-07;2022-06-10
Saarland;Sommer;2022-07-25;2021-09-02
Sachsen;Weihnachten;2021-12-23;2022-01-01
Sachsen;Herbst;2021-10-18;2021-10-30
Sachsen;Winter;2022-02-12;2022-02-26
Sachsen;Ostern/Frühjahr;2022-04-15;2022-04-23
Sachsen;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Sachsen;Sommer;2022-07-18;2021-08-26
Sachsen-Anhalt;Herbst;2021-10-25;2021-10-30
Sachsen-Anhalt;Weihnachten;2021-12-22;2022-01-08
Sachsen-Anhalt;Winter;2022-02-12;2022-02-19
Sachsen-Anhalt;Ostern/Frühjahr;2022-04-11;2022-04-16
Sachsen-Anhalt;Himmelfahrt/Pfingsten;2022-05-23;2022-05-28
Sachsen-Anhalt;Sommer;2022-07-14;2021-08-24
Schleswig-Holstein;Herbst;2021-10-04;2021-10-16
Schleswig-Holstein;Weihnachten;2021-12-23;2022-01-08
Schleswig-Holstein;Ostern/Frühjahr;2022-04-04;2022-04-16
Schleswig-Holstein;Himmelfahrt/Pfingsten;2022-05-27;2022-05-28
Schleswig-Holstein;Sommer;2022-07-04;2021-08-13
Thüringen;Weihnachten;2021-12-23;2021-12-31
Thüringen;Herbst;2021-10-25;2021-11-06
Thüringen;Winter;2022-02-12;2022-02-19
Thüringen;Ostern/Frühjahr;2022-04-11;2022-04-23
Thüringen;Himmelfahrt/Pfingsten;2022-05-27;2022-05-27
Thüringen;Sommer;2022-07-18;2021-08-27
