state,holiday,startdate,enddate
Nordrhein-Westfalen,Herbst,2024-10-14,2024-10-26
Nordrhein-Westfalen,Weihnachten,2024-12-23,2025-01-06
Nordrhein-Westfalen,Ostern/Frühjahr,2025-04-14,2025-04-26
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2025-06-10,2025-06-10
Nordrhein-Westfalen,Sommer,2025-07-14,2025-08-26
Rheinland-Pfalz,Herbst,2024-10-14,2024-10-25
Rheinland-Pfalz,Weihnachten,2024-12-23,2025-01-08
Rheinland-Pfalz,Ostern/Frühjahr,2025-04-14,2025-04-25
Rheinland-Pfalz,Sommer,2025-07-07,2025-08-15
Saarland,Herbst,2024-10-14,2024-10-25
Saarland,Weihnachten,2024-12-23,2025-01-03
Saarland,Winter,2025-02-24,2025-03-04
Saarland,Ostern/Frühjahr,2025-04-14,2025-04-25
Saarland,Sommer,2025-07-07,2025-08-14
Sachsen,Herbst,2024-10-07,2024-10-19
Sachsen,Weihnachten,2024-12-23,2025-01-03
Sachsen,Winter,2025-02-17,2025-03-01
Sachsen,Ostern/Frühjahr,2025-04-18,2025-04-25
Sachsen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Sachsen,Sommer,2025-06-28,2025-08-08
Sachsen-Anhalt,Herbst,2024-09-30,2024-10-12
Sachsen-Anhalt,Herbst,2024-11-01,2024-11-01
Sachsen-Anhalt,Weihnachten,2024-12-23,2025-01-04
Sachsen-Anhalt,Winter,2025-01-27,2025-01-31
Sachsen-Anhalt,Ostern/Frühjahr,2025-04-07,2025-04-19
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Sachsen-Anhalt,Sommer,2025-06-28,2025-08-08
Schleswig-Holstein,Herbst,2024-10-21,2024-11-01
Schleswig-Holstein,Weihnachten,2024-12-19,2025-01-07
Schleswig-Holstein,Ostern/Frühjahr,2025-04-11,2025-04-25
Schleswig-Holstein,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Schleswig-Holstein,Sommer,2025-07-28,2025-09-06
Thüringen,Herbst,2024-09-30,2024-10-12
Thüringen,Weihnachten,2024-12-23,2025-01-03
Thüringen,Winter,2025-02-03,2025-02-08
Thüringen,Ostern/Frühjahr,2025-04-07,2025-04-19
Thüringen,Himmelfahrt/Pfingsten,2025-05-30,2025-05-30
Thüringen,Sommer,2025-06-28,2025-08-08
