state,holiday,startdate,enddate
Baden-Württemberg,Herbst,2023-10-30,2023-11-03
Baden-Württemberg,Weihnachten,2023-12-23,2024-01-05
Baden-Württemberg,Ostern/Frühjahr,2024-03-23,2024-04-05
Baden-Württemberg,Himmelfahrt/Pfingsten,2024-05-21,2024-05-31
Baden-Württemberg,Sommer,2024-07-25,2024-09-07
Bayern,Herbst,2023-10-30,2023-11-03
Bayern,Weihnachten,2023-12-23,2024-01-05
Bayern,Ostern/Frühjahr,2024-02-12,2024-02-16
Bayern,Ostern/Frühjahr,2024-03-25,2024-04-06
Bayern,Himmelfahrt/Pfingsten,2024-05-21,2024-06-01
Bayern,Sommer,2024-07-29,2024-09-09
Berlin,Herbst,2023-10-02,2023-10-02
Berlin,Herbst,2023-10-23,2023-11-04
Berlin,Weihnachten,2023-12-23,2024-01-05
Berlin,Winter,2024-02-05,2024-02-10
Berlin,Ostern/Frühjahr,2024-03-25,2024-04-05
Berlin,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Berlin,Sommer,2024-07-18,2024-08-30
Brandenburg,Herbst,2023-10-23,2023-11-04
Brandenburg,Weihnachten,2023-12-23,2024-01-05
Brandenburg,Winter,2024-02-05,2024-02-09
Brandenburg,Ostern/Frühjahr,2024-03-25,2024-04-05
Brandenburg,Sommer,2024-07-18,2024-08-31
Bremen,Herbst,2023-10-02,2023-10-02
Bremen,Herbst,2023-10-16,2023-10-30
Bremen,Weihnachten,2023-12-23,2024-01-05
Bremen,Winter,2024-02-01,2024-02-02
Bremen,Ostern/Frühjahr,2024-03-18,2024-03-28
Bremen,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Bremen,Himmelfahrt/Pfingsten,2024-05-21,2024-05-21
Bremen,Sommer,2024-06-24,2024-08-02
Hamburg,Herbst,2023-10-02,2023-10-02
Hamburg,Herbst,2023-10-16,2023-10-27
Hamburg,Weihnachten,2023-12-22,2024-01-05
Hamburg,Winter,2024-02-02,2024-02-02
Hamburg,Ostern/Frühjahr,2024-03-18,2024-03-28
Hamburg,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Hamburg,Himmelfahrt/Pfingsten,2024-05-21,2024-05-24
Hamburg,Sommer,2024-07-18,2024-08-28
Hessen,Herbst,2023-10-23,2023-10-28
Hessen,Weihnachten,2023-12-27,2024-01-13
Hessen,Ostern/Frühjahr,2024-03-25,2024-04-13
Hessen,Sommer,2024-07-15,2024-08-23
Mecklenburg-Vorpommern,Herbst,2023-10-09,2023-10-14
Mecklenburg-Vorpommern,Herbst,2023-10-30,2023-11-01
Mecklenburg-Vorpommern,Weihnachten,2023-12-21,2024-01-03
Mecklenburg-Vorpommern,Winter,2024-02-05,2024-02-16
Mecklenburg-Vorpommern,Ostern/Frühjahr,2024-03-25,2024-04-03
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Mecklenburg-Vorpommern,Himmelfahrt/Pfingsten,2024-05-17,2024-05-21
Mecklenburg-Vorpommern,Sommer,2024-07-22,2024-08-31
Niedersachsen,Herbst,2023-10-02,2023-10-02
Niedersachsen,Herbst,2023-10-16,2023-10-30
Niedersachsen,Weihnachten,2023-12-27,2024-01-05
Niedersachsen,Winter,2024-02-01,2024-02-02
Niedersachsen,Ostern/Frühjahr,2024-03-18,2024-03-28
Niedersachsen,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Niedersachsen,Himmelfahrt/Pfingsten,2024-05-21,2024-05-21
Niedersachsen,Sommer,2024-06-24,2024-08-02
Nordrhein-Westfalen,Herbst,2023-10-02,2023-10-14
Nordrhein-Westfalen,Weihnachten,2023-12-21,2024-01-05
Nordrhein-Westfalen,Ostern/Frühjahr,2024-03-25,2024-04-06
Nordrhein-Westfalen,Himmelfahrt/Pfingsten,2024-05-21,2024-05-21
Nordrhein-Westfalen,Sommer,2024-07-08,2024-08-20
Rheinland-Pfalz,Herbst,2023-10-16,2023-10-27
Rheinland-Pfalz,Weihnachten,2023-12-27,2024-01-05
Rheinland-Pfalz,Ostern/Frühjahr,2024-03-25,2024-04-02
Rheinland-Pfalz,Himmelfahrt/Pfingsten,2024-05-21,2024-05-29
Rheinland-Pfalz,Sommer,2024-07-15,2024-08-23
Saarland,Herbst,2023-10-23,2023-11-03
Saarland,Weihnachten,2023-12-21,2024-01-02
Saarland,Winter,2024-02-12,2024-02-16
Saarland,Ostern/Frühjahr,2024-03-25,2024-04-05
Saarland,Himmelfahrt/Pfingsten,2024-05-21,2024-05-24
Saarland,Sommer,2024-07-15,2024-08-23
Sachsen,Herbst,2023-10-02,2023-10-14
Sachsen,Herbst,2023-10-30,2023-10-30
Sachsen,Weihnachten,2023-12-23,2024-01-02
Sachsen,Winter,2024-02-12,2024-02-23
Sachsen,Ostern/Frühjahr,2024-03-28,2024-04-05
Sachsen,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Sachsen,Himmelfahrt/Pfingsten,2024-05-18,2024-05-21
Sachsen,Sommer,2024-06-20,2024-08-02
Sachsen-Anhalt,Herbst,2023-10-02,2023-10-02
Sachsen-Anhalt,Herbst,2023-10-16,2023-10-30
Sachsen-Anhalt,Weihnachten,2023-12-21,2024-01-03
Sachsen-Anhalt,Winter,2024-02-05,2024-02-10
Sachsen-Anhalt,Ostern/Frühjahr,2024-03-25,2024-03-30
Sachsen-Anhalt,Himmelfahrt/Pfingsten,2024-05-21,2024-05-24
Sachsen-Anhalt,Sommer,2024-06-24,2024-08-03
Schleswig-Holstein,Herbst,2023-10-16,2023-10-27
Schleswig-Holstein,Weihnachten,2023-12-27,2024-01-06
Schleswig-Holstein,Ostern/Frühjahr,2024-04-02,2024-04-19
Schleswig-Holstein,Himmelfahrt/Pfingsten,2024-05-10,2024-05-11
Schleswig-Holstein,Sommer,2024-07-22,2024-08-31
Thüringen,Herbst,2023-10-02,2023-10-14
Thüringen,Weihnachten,2023-12-22,2024-01-05
Thüringen,Winter,2024-02-12,2024-02-16
Thüringen,Ostern/Frühjahr,2024-03-25,2024-04-06
Thüringen,Himmelfahrt/Pfingsten,2024-05-10,2024-05-10
Thüringen,Sommer,2024-06-20,2024-07-31
